"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_block_loop","count_delay","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimenter","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_instruction_cue","count_instructions","count_keyboard_response","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_loop","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_4","count_new_sketchpad_5","count_plus_instruction","count_post_cue","count_practice_loop","count_reset_feedback","count_sketchpad","count_stimuli","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_new_sketchpad_5","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_new_sketchpad_5","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_block_loop","time_delay","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimenter","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_instruction_cue","time_instructions","time_keyboard_response","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_loop","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_4","time_new_sketchpad_5","time_plus_instruction","time_post_cue","time_practice_loop","time_reset_feedback","time_sketchpad","time_stimuli","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","0","0","0","0","0","0","NA","NA","0","0","NA","2","NA","0","NA","2","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","0","0","NA","NA","NA","0","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","49088","NA","41032","NA","NA","52592","NA","NA","5839","NA","NA","35983","NA","45576","NA","35997","5853","NA","NA","NA","NA","NA","NA","53087","NA","NA","NA","NA","NA","NA","NA","NA","50592","43595","NA","NA","46081","NA","NA","NA","NA","45564","Extended template","0","0","0","yes","1024","PET"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","1","0","0","0","0","1","NA","NA","0","0","NA","2","NA","1","NA","2","0","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","0","NA","1","0","NA","NA","1","0","NA","NA","NA","1","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","58073","NA","41032","NA","NA","61577","NA","NA","5839","NA","NA","35983","NA","54562","NA","35997","5853","NA","NA","NA","NA","NA","NA","62072","NA","NA","NA","NA","NA","NA","NA","NA","58578","43595","NA","NA","55067","NA","NA","NA","NA","54551","Extended template","0","0","0","yes","1024","SUN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","2","0","0","0","0","2","NA","NA","0","0","NA","2","NA","2","NA","2","0","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","0","NA","2","0","NA","NA","2","0","NA","NA","NA","2","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","66914","NA","41032","NA","NA","69935","NA","NA","5839","NA","NA","35983","NA","63403","NA","35997","5853","NA","NA","NA","NA","NA","NA","70431","NA","NA","NA","NA","NA","NA","NA","NA","69918","43595","NA","NA","63908","NA","NA","NA","NA","63392","Extended template","0","0","0","yes","1024","FOX"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","3","0","0","0","0","3","NA","NA","0","0","NA","2","NA","3","NA","2","0","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","0","NA","3","0","NA","NA","3","0","NA","NA","NA","3","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","75319","NA","41032","NA","NA","78822","NA","NA","5839","NA","NA","35983","NA","71809","NA","35997","5853","NA","NA","NA","NA","NA","NA","79318","NA","NA","NA","NA","NA","NA","NA","NA","76824","43595","NA","NA","72314","NA","NA","NA","NA","71799","Extended template","0","0","0","yes","1024","PEN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","4","0","0","0","0","4","NA","NA","0","0","NA","2","NA","4","NA","2","0","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","0","NA","4","0","NA","NA","4","0","NA","NA","NA","4","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","84087","NA","41032","NA","NA","87102","NA","NA","5839","NA","NA","35983","NA","80576","NA","35997","5853","NA","NA","NA","NA","NA","NA","87597","NA","NA","NA","NA","NA","NA","NA","NA","87093","43595","NA","NA","81081","NA","NA","NA","NA","80566","Extended template","0","0","0","yes","1024","TOY"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","5","0","0","0","0","5","NA","NA","0","0","NA","2","NA","5","NA","2","0","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","0","NA","5","0","NA","NA","5","0","NA","NA","NA","5","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","92363","NA","41032","NA","NA","95385","NA","NA","5839","NA","NA","35983","NA","88853","NA","35997","5853","NA","NA","NA","NA","NA","NA","95881","NA","NA","NA","NA","NA","NA","NA","NA","95367","43595","NA","NA","89358","NA","NA","NA","NA","88843","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","6","0","0","0","0","6","NA","NA","0","0","NA","2","NA","6","NA","2","0","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","0","NA","6","0","NA","NA","6","0","NA","NA","NA","6","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","100652","NA","41032","NA","NA","104155","NA","NA","5839","NA","NA","35983","NA","97142","NA","35997","5853","NA","NA","NA","NA","NA","NA","104650","NA","NA","NA","NA","NA","NA","NA","NA","102156","43595","NA","NA","97647","NA","NA","NA","NA","97131","Extended template","0","0","0","yes","1024","SEA"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","7","0","0","0","0","7","NA","NA","0","0","NA","2","NA","7","NA","2","0","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","0","NA","7","0","NA","NA","7","0","NA","NA","NA","7","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","109417","NA","41032","NA","NA","112920","NA","NA","5839","NA","NA","35983","NA","105907","NA","35997","5853","NA","NA","NA","NA","NA","NA","113416","NA","NA","NA","NA","NA","NA","NA","NA","110921","43595","NA","NA","106412","NA","NA","NA","NA","105897","Extended template","0","0","0","yes","1024","BAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","8","0","0","0","0","8","NA","NA","0","0","NA","2","NA","8","NA","2","0","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","0","NA","8","0","NA","NA","8","0","NA","NA","NA","8","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","118184","NA","41032","NA","NA","121688","NA","NA","5839","NA","NA","35983","NA","114674","NA","35997","5853","NA","NA","NA","NA","NA","NA","122183","NA","NA","NA","NA","NA","NA","NA","NA","118688","43595","NA","NA","115179","NA","NA","NA","NA","114664","Extended template","0","0","0","yes","1024","CAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","9","0","0","0","0","9","NA","NA","0","0","NA","2","NA","9","NA","2","0","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","0","NA","9","0","NA","NA","9","0","NA","NA","NA","9","Wed Sep 25 15:09:37 2019","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/researcher/Desktop/Experiments/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/researcher/Desktop/Experiments/Prod_SOA/PS030.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","n","NA","n","NA","NA","NA","NA","h","NA","NA","NA","NA","NA","NA","NA","2561","NA","2561","NA","NA","NA","NA","19203","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","30","even","25068","NA","NA","NA","126949","NA","41032","NA","NA","130451","NA","NA","5839","NA","NA","35983","NA","123438","NA","35997","5853","NA","NA","NA","NA","NA","NA","130947","NA","NA","NA","NA","NA","NA","NA","NA","127453","43595","NA","NA","123944","NA","NA","NA","NA","123429","Extended template","0","0","0","yes","1024","MUG"
