"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_block_loop","count_delay","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimenter","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_instruction_cue","count_instructions","count_keyboard_response","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_loop","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_4","count_new_sketchpad_5","count_plus_instruction","count_post_cue","count_practice_loop","count_reset_feedback","count_sketchpad","count_stimuli","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_new_sketchpad_5","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_new_sketchpad_5","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_block_loop","time_delay","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimenter","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_instruction_cue","time_instructions","time_keyboard_response","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_loop","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_4","time_new_sketchpad_5","time_plus_instruction","time_post_cue","time_practice_loop","time_reset_feedback","time_sketchpad","time_stimuli","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","0","0","0","0","0","0","NA","NA","0","0","NA","2","NA","0","NA","2","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","0","0","NA","NA","NA","0","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","93569","NA","67163","NA","NA","97067","NA","NA","4194","NA","NA","62122","NA","90070","NA","62127","4202","NA","NA","NA","NA","NA","NA","97562","NA","NA","NA","NA","NA","NA","NA","NA","95068","88126","NA","NA","90569","NA","NA","NA","NA","90065","Extended template","0","0","0","yes","1024","PET"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","1","0","0","0","0","1","NA","NA","0","0","NA","2","NA","1","NA","2","0","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","0","NA","1","0","NA","NA","1","0","NA","NA","NA","1","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","102460","NA","67163","NA","NA","105959","NA","NA","4194","NA","NA","62122","NA","98962","NA","62127","4202","NA","NA","NA","NA","NA","NA","106454","NA","NA","NA","NA","NA","NA","NA","NA","103960","88126","NA","NA","99461","NA","NA","NA","NA","98957","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","2","0","0","0","0","2","NA","NA","0","0","NA","2","NA","2","NA","2","0","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","0","NA","2","0","NA","NA","2","0","NA","NA","NA","2","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","111189","NA","67163","NA","NA","114687","NA","NA","4194","NA","NA","62122","NA","107689","NA","62127","4202","NA","NA","NA","NA","NA","NA","115182","NA","NA","NA","NA","NA","NA","NA","NA","111688","88126","NA","NA","108188","NA","NA","NA","NA","107685","Extended template","0","0","0","yes","1024","MUG"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","3","0","0","0","0","3","NA","NA","0","0","NA","2","NA","3","NA","2","0","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","0","NA","3","0","NA","NA","3","0","NA","NA","NA","3","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","119872","NA","67163","NA","NA","122885","NA","NA","4194","NA","NA","62122","NA","116373","NA","62127","4202","NA","NA","NA","NA","NA","NA","123380","NA","NA","NA","NA","NA","NA","NA","NA","122872","88126","NA","NA","116873","NA","NA","NA","NA","116369","Extended template","0","0","0","yes","1024","HAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","4","0","0","0","0","4","NA","NA","0","0","NA","2","NA","4","NA","2","0","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","0","NA","4","0","NA","NA","4","0","NA","NA","NA","4","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","128072","NA","67163","NA","NA","131570","NA","NA","4194","NA","NA","62122","NA","124574","NA","62127","4202","NA","NA","NA","NA","NA","NA","132065","NA","NA","NA","NA","NA","NA","NA","NA","128571","88126","NA","NA","125073","NA","NA","NA","NA","124569","Extended template","0","0","0","yes","1024","SUN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","5","0","0","0","0","5","NA","NA","0","0","NA","2","NA","5","NA","2","0","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","0","NA","5","0","NA","NA","5","0","NA","NA","NA","5","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","136756","NA","67163","NA","NA","140254","NA","NA","4194","NA","NA","62122","NA","133258","NA","62127","4202","NA","NA","NA","NA","NA","NA","140749","NA","NA","NA","NA","NA","NA","NA","NA","137255","88126","NA","NA","133757","NA","NA","NA","NA","133253","Extended template","0","0","0","yes","1024","CAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","6","0","0","0","0","6","NA","NA","0","0","NA","2","NA","6","NA","2","0","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","0","NA","6","0","NA","NA","6","0","NA","NA","NA","6","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","145441","NA","67163","NA","NA","148451","NA","NA","4194","NA","NA","62122","NA","141942","NA","62127","4202","NA","NA","NA","NA","NA","NA","148946","NA","NA","NA","NA","NA","NA","NA","NA","148440","88126","NA","NA","142441","NA","NA","NA","NA","141937","Extended template","0","0","0","yes","1024","TOY"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","7","0","0","0","0","7","NA","NA","0","0","NA","2","NA","7","NA","2","0","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","0","NA","7","0","NA","NA","7","0","NA","NA","NA","7","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","153636","NA","67163","NA","NA","157134","NA","NA","4194","NA","NA","62122","NA","150138","NA","62127","4202","NA","NA","NA","NA","NA","NA","157629","NA","NA","NA","NA","NA","NA","NA","NA","154135","88126","NA","NA","150637","NA","NA","NA","NA","150134","Extended template","0","0","0","yes","1024","CAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","8","0","0","0","0","8","NA","NA","0","0","NA","2","NA","8","NA","2","0","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","0","NA","8","0","NA","NA","8","0","NA","NA","NA","8","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","162321","NA","67163","NA","NA","165334","NA","NA","4194","NA","NA","62122","NA","158823","NA","62127","4202","NA","NA","NA","NA","NA","NA","165829","NA","NA","NA","NA","NA","NA","NA","NA","165320","88126","NA","NA","159322","NA","NA","NA","NA","158818","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","NA","9","0","0","0","0","9","NA","NA","0","0","NA","2","NA","9","NA","2","0","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","0","NA","9","0","NA","NA","9","0","NA","NA","NA","9","Thu Oct 24 12:28:19 2019","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Prod_SOA/ps034.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","return","NA","return","NA","NA","NA","NA","return","NA","NA","NA","NA","NA","NA","NA","20962","NA","20962","NA","NA","NA","NA","47075","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","34","even","51282","NA","NA","NA","170519","NA","67163","NA","NA","174016","NA","NA","4194","NA","NA","62122","NA","167020","NA","62127","4202","NA","NA","NA","NA","NA","NA","174512","NA","NA","NA","NA","NA","NA","NA","NA","172018","88126","NA","NA","167520","NA","NA","NA","NA","167016","Extended template","0","0","0","yes","1024","BAR"
