"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_2_1","count_blank_screen_3","count_blank_screen_3_1","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_test","count_log_end_of_trial","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_log","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_record_test","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_recording","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_2_1","time_blank_screen_3","time_blank_screen_3_1","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_test","time_log_end_of_trial","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_log","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_record_test","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_recording","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1047931","1049440","NA","NA","NA","NA","1048436","NA","NA","NA","958809","NA","NA","1053445","NA","NA","955979","NA","NA","1056943","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1049944","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1057438","NA","NA","NA","NA","NA","1057440","NA","NA","NA","NA","NA","NA","NA","NA","1054944","NA","1045412","NA","NA","NA","NA","1050444","NA","NA","NA","NA","NA","NA","NA","NA","1047927","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1059505","1061014","NA","NA","NA","NA","1060010","NA","NA","NA","958809","NA","NA","1065018","NA","NA","955979","NA","NA","1068518","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1061518","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1069013","NA","NA","NA","NA","NA","1069015","NA","NA","NA","NA","NA","NA","NA","NA","1065518","NA","1045412","NA","NA","NA","NA","1062019","NA","NA","NA","NA","NA","NA","NA","NA","1059501","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1070825","1072333","NA","NA","NA","NA","1071328","NA","NA","NA","958809","NA","NA","1076337","NA","NA","955979","NA","NA","1079836","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1072837","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1080331","NA","NA","NA","NA","NA","1080333","NA","NA","NA","NA","NA","NA","NA","NA","1076836","NA","1045412","NA","NA","NA","NA","1073336","NA","NA","NA","NA","NA","NA","NA","NA","1070821","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1082139","1083647","NA","NA","NA","NA","1082643","NA","NA","NA","958809","NA","NA","1087651","NA","NA","955979","NA","NA","1091150","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1084151","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1091645","NA","NA","NA","NA","NA","1091647","NA","NA","NA","NA","NA","NA","NA","NA","1089150","NA","1045412","NA","NA","NA","NA","1084651","NA","NA","NA","NA","NA","NA","NA","NA","1082134","NA","Extended template","0","0","0","yes","1024","PET"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1093451","1094959","NA","NA","NA","NA","1093955","NA","NA","NA","958809","NA","NA","1098963","NA","NA","955979","NA","NA","1101970","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1095463","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1102465","NA","NA","NA","NA","NA","1102467","NA","NA","NA","NA","NA","NA","NA","NA","1101962","NA","1045412","NA","NA","NA","NA","1095962","NA","NA","NA","NA","NA","NA","NA","NA","1093447","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1104365","1105873","NA","NA","NA","NA","1104869","NA","NA","NA","958809","NA","NA","1109878","NA","NA","955979","NA","NA","1112887","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1106377","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1113382","NA","NA","NA","NA","NA","1113384","NA","NA","NA","NA","NA","NA","NA","NA","1112877","NA","1045412","NA","NA","NA","NA","1106878","NA","NA","NA","NA","NA","NA","NA","NA","1104360","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1115195","1116703","NA","NA","NA","NA","1115699","NA","NA","NA","958809","NA","NA","1120706","NA","NA","955979","NA","NA","1124206","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1117207","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1124701","NA","NA","NA","NA","NA","1124703","NA","NA","NA","NA","NA","NA","NA","NA","1121206","NA","1045412","NA","NA","NA","NA","1117707","NA","NA","NA","NA","NA","NA","NA","NA","1115191","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1126504","1128012","NA","NA","NA","NA","1127008","NA","NA","NA","958809","NA","NA","1132017","NA","NA","955979","NA","NA","1135516","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1128517","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1136011","NA","NA","NA","NA","NA","1136013","NA","NA","NA","NA","NA","NA","NA","NA","1133517","NA","1045412","NA","NA","NA","NA","1129017","NA","NA","NA","NA","NA","NA","NA","NA","1126500","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1137817","1139325","NA","NA","NA","NA","1138321","NA","NA","NA","958809","NA","NA","1143329","NA","NA","955979","NA","NA","1146828","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1139829","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1147323","NA","NA","NA","NA","NA","1147325","NA","NA","NA","NA","NA","NA","NA","NA","1143828","NA","1045412","NA","NA","NA","NA","1140328","NA","NA","NA","NA","NA","NA","NA","NA","1137812","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Wed Jan 15 14:34:43 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS002.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2829","NA","2829","NA","NA","NA","NA","4476","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","940080","NA","NA","1149125","1150634","NA","NA","NA","NA","1149630","NA","NA","NA","958809","NA","NA","1154638","NA","NA","955979","NA","NA","1158137","NA","NA","NA","3158","NA","NA","NA","3161","950931","NA","1151138","NA","NA","NA","NA","NA","NA","NA","NA","950936","935603","NA","NA","NA","1158632","NA","NA","NA","NA","NA","1158634","NA","NA","NA","NA","NA","NA","NA","NA","1156137","NA","1045412","NA","NA","NA","NA","1151638","NA","NA","NA","NA","NA","NA","NA","NA","1149121","NA","Extended template","0","0","0","yes","1024","SEA"
