"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_3","count_blank_screen_3_1","count_blank_screen_4","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_practice","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_log","count_new_pygaze_log_1","count_new_pygaze_start_recording","count_new_pygaze_start_recording_1","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_3","time_blank_screen_3_1","time_blank_screen_4","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_practice","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_log","time_new_pygaze_log_1","time_new_pygaze_start_recording","time_new_pygaze_start_recording_1","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","586526","588034","NA","NA","NA","NA","587030","NA","NA","NA","NA","515886","592039","NA","NA","512257","NA","NA","595057","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","588539","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","595552","NA","NA","NA","NA","NA","595554","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","595039","NA","583957","NA","NA","589039","NA","NA","NA","NA","NA","NA","NA","NA","586522","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","597613","599122","NA","NA","NA","NA","598118","NA","NA","NA","NA","515886","603125","NA","NA","512257","NA","NA","606141","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","599626","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","606636","NA","NA","NA","NA","NA","606638","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","606126","NA","583957","NA","NA","600126","NA","NA","NA","NA","NA","NA","NA","NA","597609","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","608453","609961","NA","NA","NA","NA","608958","NA","NA","NA","NA","515886","613965","NA","NA","512257","NA","NA","616975","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","610466","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","617470","NA","NA","NA","NA","NA","617472","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","616965","NA","583957","NA","NA","610966","NA","NA","NA","NA","NA","NA","NA","NA","608449","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","619284","620792","NA","NA","NA","NA","619788","NA","NA","NA","NA","515886","624796","NA","NA","512257","NA","NA","628295","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","621296","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","628790","NA","NA","NA","NA","NA","628792","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","626296","NA","583957","NA","NA","621795","NA","NA","NA","NA","NA","NA","NA","NA","619280","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","630608","632116","NA","NA","NA","NA","631112","NA","NA","NA","NA","515886","636121","NA","NA","512257","NA","NA","639620","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","632621","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","640115","NA","NA","NA","NA","NA","640117","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","636621","NA","583957","NA","NA","633121","NA","NA","NA","NA","NA","NA","NA","NA","630604","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","641931","643440","NA","NA","NA","NA","642436","NA","NA","NA","NA","515886","647444","NA","NA","512257","NA","NA","650943","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","643944","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","651438","NA","NA","NA","NA","NA","651440","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","648943","NA","583957","NA","NA","644444","NA","NA","NA","NA","NA","NA","NA","NA","641927","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","653262","654770","NA","NA","NA","NA","653766","NA","NA","NA","NA","515886","658775","NA","NA","512257","NA","NA","662274","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","655274","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","662769","NA","NA","NA","NA","NA","662771","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","660274","NA","583957","NA","NA","655774","NA","NA","NA","NA","NA","NA","NA","NA","653258","NA","Extended template","0","0","0","yes","1024","PET"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","664585","666093","NA","NA","NA","NA","665089","NA","NA","NA","NA","515886","670098","NA","NA","512257","NA","NA","673107","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","666598","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","673602","NA","NA","NA","NA","NA","673604","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","673097","NA","583957","NA","NA","667098","NA","NA","NA","NA","NA","NA","NA","NA","664581","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","675416","676924","NA","NA","NA","NA","675920","NA","NA","NA","NA","515886","680927","NA","NA","512257","NA","NA","684427","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","677428","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","684922","NA","NA","NA","NA","NA","684924","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","682427","NA","583957","NA","NA","677928","NA","NA","NA","NA","NA","NA","NA","NA","675412","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Thu Feb  6 14:08:10 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS007.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","3629","NA","3629","NA","NA","NA","NA","19967","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","496342","NA","NA","686737","688245","NA","NA","NA","NA","687241","NA","NA","NA","NA","515886","692250","NA","NA","512257","NA","NA","695749","NA","NA","NA","3897","NA","NA","NA","3900","507206","NA","688749","NA","NA","NA","NA","NA","NA","NA","NA","507212","476374","NA","NA","696244","NA","NA","NA","NA","NA","696246","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","692749","NA","583957","NA","NA","689250","NA","NA","NA","NA","NA","NA","NA","NA","686732","NA","Extended template","0","0","0","yes","1024","CAT"
