"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_2_1","count_blank_screen_4","count_blink_screen","count_blink_screen_3","count_blink_screen_3_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eytracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_trial","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_log","count_new_pygaze_log_1","count_new_pygaze_start_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_4","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_2_1","time_blank_screen_4","time_blink_screen","time_blink_screen_3","time_blink_screen_3_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eytracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_trial","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_log","time_new_pygaze_log_1","time_new_pygaze_start_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_4","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","313347","314855","NA","NA","NA","313851","NA","NA","NA","306842","NA","NA","318859","NA","NA","276483","NA","NA","322359","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","315360","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","322854","NA","NA","NA","NA","NA","322856","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","319359","NA","310735","NA","NA","NA","315859","NA","NA","NA","NA","NA","NA","NA","313342","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","NA","1","NA","NA","NA","0","NA","NA","NA","1","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","325156","326664","NA","NA","NA","325660","NA","NA","NA","306842","NA","NA","330669","NA","NA","276483","NA","NA","333674","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","327168","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","334169","NA","NA","NA","NA","NA","334171","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","333669","NA","310735","NA","NA","NA","327668","NA","NA","NA","NA","NA","NA","NA","325152","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","NA","2","NA","NA","NA","0","NA","NA","NA","2","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","335995","337503","NA","NA","NA","336498","NA","NA","NA","306842","NA","NA","341508","NA","NA","276483","NA","NA","345007","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","338007","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","345502","NA","NA","NA","NA","NA","345504","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","343008","NA","310735","NA","NA","NA","338507","NA","NA","NA","NA","NA","NA","NA","335990","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","NA","3","NA","NA","NA","0","NA","NA","NA","3","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","347342","348849","NA","NA","NA","347846","NA","NA","NA","306842","NA","NA","352855","NA","NA","276483","NA","NA","356354","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","349355","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","356849","NA","NA","NA","NA","NA","356851","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","353354","NA","310735","NA","NA","NA","349855","NA","NA","NA","NA","NA","NA","NA","347338","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","NA","4","NA","NA","NA","0","NA","NA","NA","4","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","358673","360182","NA","NA","NA","359178","NA","NA","NA","306842","NA","NA","364187","NA","NA","276483","NA","NA","367686","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","360687","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","368181","NA","NA","NA","NA","NA","368183","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","364687","NA","310735","NA","NA","NA","361187","NA","NA","NA","NA","NA","NA","NA","358669","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","NA","5","NA","NA","NA","0","NA","NA","NA","5","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","370004","371512","NA","NA","NA","370508","NA","NA","NA","306842","NA","NA","375516","NA","NA","276483","NA","NA","379015","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","372016","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","379510","NA","NA","NA","NA","NA","379512","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","376015","NA","310735","NA","NA","NA","372515","NA","NA","NA","NA","NA","NA","NA","370000","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","NA","6","NA","NA","NA","0","NA","NA","NA","6","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","381332","382840","NA","NA","NA","381836","NA","NA","NA","306842","NA","NA","386843","NA","NA","276483","NA","NA","389856","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","383344","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","390351","NA","NA","NA","NA","NA","390353","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","389843","NA","310735","NA","NA","NA","383843","NA","NA","NA","NA","NA","NA","NA","381328","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","NA","7","NA","NA","NA","0","NA","NA","NA","7","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","392175","393683","NA","NA","NA","392679","NA","NA","NA","306842","NA","NA","397688","NA","NA","276483","NA","NA","400692","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","394188","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","401188","NA","NA","NA","NA","NA","401190","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","400688","NA","310735","NA","NA","NA","394688","NA","NA","NA","NA","NA","NA","NA","392170","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","NA","8","NA","NA","NA","0","NA","NA","NA","8","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","403013","404521","NA","NA","NA","403517","NA","NA","NA","306842","NA","NA","408525","NA","NA","276483","NA","NA","412024","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","405025","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","412519","NA","NA","NA","NA","NA","412521","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","410024","NA","310735","NA","NA","NA","405525","NA","NA","NA","NA","NA","NA","NA","403008","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","NA","9","NA","NA","NA","0","NA","NA","NA","9","NA","Wed Feb 12 15:27:22 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS010.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","30358","NA","30358","NA","NA","NA","NA","3496","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","260570","NA","NA","414345","415854","NA","NA","NA","414850","NA","NA","NA","306842","NA","NA","419858","NA","NA","276483","NA","NA","422873","NA","NA","NA","3615","NA","NA","NA","3624","271434","NA","416358","NA","NA","NA","NA","NA","NA","NA","NA","271440","257073","NA","NA","423368","NA","NA","NA","NA","NA","423370","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","422858","NA","310735","NA","NA","NA","416858","NA","NA","NA","NA","NA","NA","NA","414341","NA","Extended template","0","0","0","yes","1024","FOX"
