"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_1_1","count_blank_screen_1_1_1","count_blank_screen_2","count_blank_screen_2_1","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_log_1","count_new_pygaze_log_2","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_1_1","time_blank_screen_1_1_1","time_blank_screen_2","time_blank_screen_2_1","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_log_1","time_new_pygaze_log_2","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","338986","340493","NA","NA","NA","NA","339489","NA","NA","NA","335404","NA","NA","344496","NA","NA","325998","NA","NA","347993","NA","NA","NA","2551","NA","NA","NA","320949","NA","340997","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","348491","NA","NA","2555","348489","NA","NA","NA","NA","NA","NA","NA","NA","NA","344995","NA","337004","NA","NA","NA","341496","NA","NA","NA","NA","NA","NA","NA","338982","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","NA","1","NA","NA","NA","0","NA","NA","NA","1","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","350517","352024","NA","NA","NA","NA","351020","NA","NA","NA","335404","NA","NA","356027","NA","NA","325998","NA","NA","359525","NA","NA","NA","2551","NA","NA","NA","320949","NA","352528","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","360022","NA","NA","2555","360020","NA","NA","NA","NA","NA","NA","NA","NA","NA","356526","NA","337004","NA","NA","NA","353028","NA","NA","NA","NA","NA","NA","NA","350513","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","NA","2","NA","NA","NA","0","NA","NA","NA","2","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","361902","363408","NA","NA","NA","NA","362405","NA","NA","NA","335404","NA","NA","367411","NA","NA","325998","NA","NA","370909","NA","NA","NA","2551","NA","NA","NA","320949","NA","363912","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","371406","NA","NA","2555","371404","NA","NA","NA","NA","NA","NA","NA","NA","NA","368910","NA","337004","NA","NA","NA","364411","NA","NA","NA","NA","NA","NA","NA","361898","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","NA","3","NA","NA","NA","0","NA","NA","NA","3","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","373234","374742","NA","NA","NA","NA","373738","NA","NA","NA","335404","NA","NA","378745","NA","NA","325998","NA","NA","381758","NA","NA","NA","2551","NA","NA","NA","320949","NA","375246","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","382255","NA","NA","2555","382253","NA","NA","NA","NA","NA","NA","NA","NA","NA","381744","NA","337004","NA","NA","NA","375745","NA","NA","NA","NA","NA","NA","NA","373231","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","NA","4","NA","NA","NA","0","NA","NA","NA","4","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","384091","385597","NA","NA","NA","NA","384594","NA","NA","NA","335404","NA","NA","389600","NA","NA","325998","NA","NA","393098","NA","NA","NA","2551","NA","NA","NA","320949","NA","386101","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","393595","NA","NA","2555","393593","NA","NA","NA","NA","NA","NA","NA","NA","NA","391099","NA","337004","NA","NA","NA","386600","NA","NA","NA","NA","NA","NA","NA","384087","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","NA","5","NA","NA","NA","0","NA","NA","NA","5","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","395425","396931","NA","NA","NA","NA","395928","NA","NA","NA","335404","NA","NA","400934","NA","NA","325998","NA","NA","404432","NA","NA","NA","2551","NA","NA","NA","320949","NA","397435","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","404929","NA","NA","2555","404927","NA","NA","NA","NA","NA","NA","NA","NA","NA","402433","NA","337004","NA","NA","NA","397934","NA","NA","NA","NA","NA","NA","NA","395421","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","NA","6","NA","NA","NA","0","NA","NA","NA","6","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","406868","408374","NA","NA","NA","NA","407371","NA","NA","NA","335404","NA","NA","412378","NA","NA","325998","NA","NA","415876","NA","NA","NA","2551","NA","NA","NA","320949","NA","408879","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","416373","NA","NA","2555","416371","NA","NA","NA","NA","NA","NA","NA","NA","NA","412877","NA","337004","NA","NA","NA","409378","NA","NA","NA","NA","NA","NA","NA","406864","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","NA","7","NA","NA","NA","0","NA","NA","NA","7","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","418201","419707","NA","NA","NA","NA","418704","NA","NA","NA","335404","NA","NA","423710","NA","NA","325998","NA","NA","427208","NA","NA","NA","2551","NA","NA","NA","320949","NA","420211","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","427705","NA","NA","2555","427703","NA","NA","NA","NA","NA","NA","NA","NA","NA","424209","NA","337004","NA","NA","NA","420710","NA","NA","NA","NA","NA","NA","NA","418197","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","NA","8","NA","NA","NA","0","NA","NA","NA","8","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","429534","431041","NA","NA","NA","NA","430038","NA","NA","NA","335404","NA","NA","435044","NA","NA","325998","NA","NA","438057","NA","NA","NA","2551","NA","NA","NA","320949","NA","431545","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","438554","NA","NA","2555","438552","NA","NA","NA","NA","NA","NA","NA","NA","NA","438043","NA","337004","NA","NA","NA","432044","NA","NA","NA","NA","NA","NA","NA","429531","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","NA","9","NA","NA","NA","0","NA","NA","NA","9","NA","Sun Feb 23 12:45:32 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/Participant Data/PS017.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","9405","NA","9405","NA","NA","NA","NA","4508","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","310051","NA","NA","440380","441886","NA","NA","NA","NA","440883","NA","NA","NA","335404","NA","NA","445890","NA","NA","325998","NA","NA","449388","NA","NA","NA","2551","NA","NA","NA","320949","NA","442390","NA","NA","NA","NA","NA","NA","NA","NA","320954","305542","NA","NA","NA","NA","NA","NA","NA","449885","NA","NA","2555","449883","NA","NA","NA","NA","NA","NA","NA","NA","NA","447389","NA","337004","NA","NA","NA","442889","NA","NA","NA","NA","NA","NA","NA","440376","NA","Extended template","0","0","0","yes","1024","PET"
