"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Inline_Fixation","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_3","count_blank_screen_4","count_blank_screen_5","count_blink_screen","count_blink_screen_1","count_blink_screen_2","count_block_loop","count_calibrate","count_calibrate_2","count_calibrate_3","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inlin_blink","count_inline_blink","count_inline_blink_1","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_keyboard_response","count_log_end_of_practice","count_log_end_of_test","count_log_end_of_trial","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_6","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_press_key","count_record_study","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_new_sketchpad_6","response_press_key","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_new_sketchpad_6","response_time_press_key","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Inline_Fixation","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_3","time_blank_screen_4","time_blank_screen_5","time_blink_screen","time_blink_screen_1","time_blink_screen_2","time_block_loop","time_calibrate","time_calibrate_2","time_calibrate_3","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inlin_blink","time_inline_blink","time_inline_blink_1","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_keyboard_response","time_log_end_of_practice","time_log_end_of_test","time_log_end_of_trial","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_6","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_press_key","time_record_study","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","199976","201483","NA","NA","NA","NA","200479","NA","NA","NA","184869","NA","NA","205487","NA","NA","183382","NA","NA","208985","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","201988","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","209480","NA","NA","NA","NA","NA","NA","NA","209482","NA","NA","NA","NA","NA","NA","NA","NA","205986","NA","197441","NA","NA","NA","NA","202487","NA","NA","NA","NA","NA","NA","NA","NA","199972","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","211846","213352","NA","NA","NA","NA","212349","NA","NA","NA","184869","NA","NA","217355","NA","NA","183382","NA","NA","220853","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","213856","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","221348","NA","NA","NA","NA","NA","NA","NA","221350","NA","NA","NA","NA","NA","NA","NA","NA","218854","NA","197441","NA","NA","NA","NA","214355","NA","NA","NA","NA","NA","NA","NA","NA","211842","NA","Extended template","0","0","0","yes","1024","PET"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","223161","224667","NA","NA","NA","NA","223664","NA","NA","NA","184869","NA","NA","228670","NA","NA","183382","NA","NA","232168","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","225171","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","232663","NA","NA","NA","NA","NA","NA","NA","232665","NA","NA","NA","NA","NA","NA","NA","NA","229169","NA","197441","NA","NA","NA","NA","225670","NA","NA","NA","NA","NA","NA","NA","NA","223157","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","3","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","234474","235980","NA","NA","NA","NA","234977","NA","NA","NA","184869","NA","NA","239984","NA","NA","183382","NA","NA","243482","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","236485","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","243977","NA","NA","NA","NA","NA","NA","NA","243979","NA","NA","NA","NA","NA","NA","NA","NA","241483","NA","197441","NA","NA","NA","NA","236984","NA","NA","NA","NA","NA","NA","NA","NA","234470","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","4","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","0","NA","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","245789","247295","NA","NA","NA","NA","246292","NA","NA","NA","184869","NA","NA","251298","NA","NA","183382","NA","NA","254303","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","247799","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","254798","NA","NA","NA","NA","NA","NA","NA","254800","NA","NA","NA","NA","NA","NA","NA","NA","254297","NA","197441","NA","NA","NA","NA","248298","NA","NA","NA","NA","NA","NA","NA","NA","245784","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","256609","258115","NA","NA","NA","NA","257112","NA","NA","NA","184869","NA","NA","262119","NA","NA","183382","NA","NA","265136","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","258620","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","265631","NA","NA","NA","NA","NA","NA","NA","265633","NA","NA","NA","NA","NA","NA","NA","NA","265118","NA","197441","NA","NA","NA","NA","259119","NA","NA","NA","NA","NA","NA","NA","NA","256605","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","6","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","0","NA","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","267442","268948","NA","NA","NA","NA","267945","NA","NA","NA","184869","NA","NA","272951","NA","NA","183382","NA","NA","276448","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","269452","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","276944","NA","NA","NA","NA","NA","NA","NA","276946","NA","NA","NA","NA","NA","NA","NA","NA","273450","NA","197441","NA","NA","NA","NA","269951","NA","NA","NA","NA","NA","NA","NA","NA","267439","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","7","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","0","NA","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","278758","280265","NA","NA","NA","NA","279262","NA","NA","NA","184869","NA","NA","284268","NA","NA","183382","NA","NA","287766","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","280769","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","288261","NA","NA","NA","NA","NA","NA","NA","288263","NA","NA","NA","NA","NA","NA","NA","NA","285767","NA","197441","NA","NA","NA","NA","281268","NA","NA","NA","NA","NA","NA","NA","NA","278755","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","8","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","290076","291582","NA","NA","NA","NA","290579","NA","NA","NA","184869","NA","NA","295586","NA","NA","183382","NA","NA","298603","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","292087","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","299098","NA","NA","NA","NA","NA","NA","NA","299100","NA","NA","NA","NA","NA","NA","NA","NA","298585","NA","197441","NA","NA","NA","NA","292586","NA","NA","NA","NA","NA","NA","NA","NA","290072","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","9","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","0","NA","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Mon Jan 13 15:28:08 2020","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Prod_SOA/prod_soa1","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Prod_SOA/prod_soa1/PracticeRunData/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1486","NA","1486","NA","NA","NA","NA","1429","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","167500","NA","NA","NA","300912","302418","NA","NA","NA","NA","301415","NA","NA","NA","184869","NA","NA","306421","NA","NA","183382","NA","NA","309919","NA","NA","NA","3619","NA","NA","NA","3621","178334","NA","302922","NA","NA","NA","NA","NA","NA","NA","NA","178339","166070","NA","310414","NA","NA","NA","NA","NA","NA","NA","310416","NA","NA","NA","NA","NA","NA","NA","NA","306920","NA","197441","NA","NA","NA","NA","303421","NA","NA","NA","NA","NA","NA","NA","NA","300908","NA","Extended template","0","0","0","yes","1024","CAR"
