List_Number,SOA,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_end_of_familiarization,correct_instructions,correct_keyboard_response,correct_new_keyboard_response,count_Familiarization,count_Test_loop,count_about_this_template,count_blank_screen,count_blank_screen_1,count_blank_screen_1_1,count_blank_screen_1_2,count_blank_screen_2,count_blank_screen_3,count_blank_screen_3_1,count_blank_screen_5,count_blink_screen,count_blink_screen_1,count_blink_screen_1_2,count_block_loop,count_calibrate,count_calibrate_1,count_calibrate_2,count_delay,count_delay_1,count_end_of_experiment,count_end_of_familiarization,count_end_of_practice,count_end_of_study,count_end_of_trial,count_end_of_trial_1,count_equal_instruction,count_ex_instruction,count_experiment,count_experimental_loop,count_experimenter,count_eyetracking_init,count_familiarization_sequence,count_feedback,count_fixation_NT,count_fixation_NT_1,count_fixation_NT_2,count_inline_blink,count_inline_fixation,count_inline_stimulus,count_inline_test_blink,count_inline_test_fixation,count_inline_test_stimulus,count_instruction_cue,count_instructions,count_keyboard_response,count_log_delay,count_log_delay_1,count_log_end_of_familiarization,count_log_end_of_study,count_log_end_of_trial,count_log_end_of_trial_1,count_log_fixation_NT,count_log_fixation_NT_1,count_log_fixation_NT_2,count_log_instructions,count_log_new_sketchpad_2,count_log_new_sketchpad_4,count_log_post_cue,count_log_post_cue_1,count_log_stimuli,count_log_stimuli_1,count_log_test,count_log_test_instructions,count_logger,count_loop,count_new_inline_script,count_new_keyboard_response,count_new_logger,count_new_logger_1,count_new_logger_1_1,count_new_loop,count_new_pygaze_init,count_new_pygaze_start_recording,count_new_sketchpad,count_new_sketchpad_1,count_new_sketchpad_2,count_new_sketchpad_3,count_plus_instruction,count_post_cue,count_post_cue_1,count_practice_loop,count_press_key,count_pygaze_init_study,count_pygaze_init_study_2,count_pygaze_init_test,count_pygaze_stop_recording,count_record_study,count_record_study_1,count_reset_feedback,count_sketchpad,count_stimuli,count_stimuli_1,count_stop_recording,count_stop_recording_1,count_stop_recording_2,count_test_instructions,count_test_log,count_test_sequence,count_test_stimulus,count_trial_sequence,count_trial_sequence_1,count_trial_sequence_1_1,datetime,description,disable_garbage_collection,e_SO,empty_column,eq_sq,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,instruction,keyboard_backend,live_row,live_row_Familiarization,live_row_practice_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_end_of_familiarization,response_end_of_study,response_experimenter,response_feedback,response_instructions,response_keyboard_response,response_new_keyboard_response,response_new_sketchpad,response_new_sketchpad_1,response_new_sketchpad_2,response_new_sketchpad_3,response_press_key,response_test_instructions,response_time,response_time_end_of_experiment,response_time_end_of_familiarization,response_time_end_of_study,response_time_experimenter,response_time_feedback,response_time_instructions,response_time_keyboard_response,response_time_new_keyboard_response,response_time_new_sketchpad,response_time_new_sketchpad_1,response_time_new_sketchpad_2,response_time_new_sketchpad_3,response_time_press_key,response_time_test_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Familiarization,time_Test_loop,time_about_this_template,time_blank_screen,time_blank_screen_1,time_blank_screen_1_1,time_blank_screen_1_2,time_blank_screen_2,time_blank_screen_3,time_blank_screen_3_1,time_blank_screen_5,time_blink_screen,time_blink_screen_1,time_blink_screen_1_2,time_block_loop,time_calibrate,time_calibrate_1,time_calibrate_2,time_delay,time_delay_1,time_end_of_experiment,time_end_of_familiarization,time_end_of_practice,time_end_of_study,time_end_of_trial,time_end_of_trial_1,time_equal_instruction,time_ex_instruction,time_experiment,time_experimental_loop,time_experimenter,time_eyetracking_init,time_familiarization_sequence,time_feedback,time_fixation_NT,time_fixation_NT_1,time_fixation_NT_2,time_inline_blink,time_inline_fixation,time_inline_stimulus,time_inline_test_blink,time_inline_test_fixation,time_inline_test_stimulus,time_instruction_cue,time_instructions,time_keyboard_response,time_log_delay,time_log_delay_1,time_log_end_of_familiarization,time_log_end_of_study,time_log_end_of_trial,time_log_end_of_trial_1,time_log_fixation_NT,time_log_fixation_NT_1,time_log_fixation_NT_2,time_log_instructions,time_log_new_sketchpad_2,time_log_new_sketchpad_4,time_log_post_cue,time_log_post_cue_1,time_log_stimuli,time_log_stimuli_1,time_log_test,time_log_test_instructions,time_logger,time_loop,time_new_inline_script,time_new_keyboard_response,time_new_logger,time_new_logger_1,time_new_logger_1_1,time_new_loop,time_new_pygaze_init,time_new_pygaze_start_recording,time_new_sketchpad,time_new_sketchpad_1,time_new_sketchpad_2,time_new_sketchpad_3,time_plus_instruction,time_post_cue,time_post_cue_1,time_practice_loop,time_press_key,time_pygaze_init_study,time_pygaze_init_study_2,time_pygaze_init_test,time_pygaze_stop_recording,time_record_study,time_record_study_1,time_reset_feedback,time_sketchpad,time_stimuli,time_stimuli_1,time_stop_recording,time_stop_recording_1,time_stop_recording_2,time_test_instructions,time_test_log,time_test_sequence,time_test_stimulus,time_trial_sequence,time_trial_sequence_1,time_trial_sequence_1_1,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,0,2,0,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,998148,999656,NA,NA,NA,NA,NA,NA,998651,NA,789861,NA,NA,NA,1003658,NA,762861,NA,NA,NA,1006673,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1000160,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1007168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007170,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006657,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000659,NA,NA,NA,NA,NA,NA,NA,NA,NA,998145,Extended template,0,0,0,yes,1024,JAR
NA,495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,NA,1,0,0,0,0,NA,1,NA,NA,0,0,NA,0,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,2995,NA,equals,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,1,2,1,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1009204,1010710,NA,NA,NA,NA,NA,NA,1009707,NA,789861,NA,NA,NA,1014713,NA,762861,NA,NA,NA,1018210,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1011214,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1018706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018708,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015212,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011714,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009200,Extended template,0,0,0,yes,1024,MUG
NA,1495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,NA,2,0,0,0,0,NA,2,NA,NA,0,0,NA,0,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,2,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,1995,NA,equals,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,2,2,2,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1020530,1022036,NA,NA,NA,NA,NA,NA,1021033,NA,789861,NA,NA,NA,1026038,NA,762861,NA,NA,NA,1029536,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1022540,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1030032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027538,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020527,Extended template,0,0,0,yes,1024,BAR
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,NA,0,0,0,NA,3,0,0,0,0,NA,3,NA,NA,0,0,NA,0,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,3,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,3,2,3,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1031853,1033360,NA,NA,NA,NA,NA,NA,1032357,NA,789861,NA,NA,NA,1037363,NA,762861,NA,NA,NA,1040373,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1033864,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1040868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040870,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040362,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034363,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031850,Extended template,0,0,0,yes,1024,FOX
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,NA,4,0,0,0,0,NA,4,NA,NA,0,0,NA,0,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,0,NA,NA,NA,NA,NA,4,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,4,2,4,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1042692,1044198,NA,NA,NA,NA,NA,NA,1043195,NA,789861,NA,NA,NA,1048201,NA,762861,NA,NA,NA,1051206,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1044702,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1051701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1051703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1051200,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045201,NA,NA,NA,NA,NA,NA,NA,NA,NA,1042688,Extended template,0,0,0,yes,1024,HAT
NA,495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,5,NA,0,0,0,NA,5,0,0,0,0,NA,5,NA,NA,0,0,NA,0,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,0,NA,NA,NA,NA,NA,5,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,2995,NA,equals,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,5,2,5,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1053521,1055027,NA,NA,NA,NA,NA,NA,1054024,NA,789861,NA,NA,NA,1059030,NA,762861,NA,NA,NA,1062527,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1055531,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1063023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063025,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059529,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1056030,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053518,Extended template,0,0,0,yes,1024,CAT
NA,495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,NA,6,0,0,0,0,NA,6,NA,NA,0,0,NA,0,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,0,NA,NA,NA,NA,NA,6,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,2995,NA,equals,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,6,2,6,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1064840,1066346,NA,NA,NA,NA,NA,NA,1065343,NA,789861,NA,NA,NA,1070349,NA,762861,NA,NA,NA,1073846,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1066850,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1074342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074344,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070848,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1067349,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064836,Extended template,0,0,0,yes,1024,CAR
NA,1495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,NA,7,0,0,0,0,NA,7,NA,NA,0,0,NA,0,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0,NA,NA,NA,NA,NA,7,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,1995,NA,equals,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,7,2,7,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1076162,1077668,NA,NA,NA,NA,NA,NA,1076665,NA,789861,NA,NA,NA,1081671,NA,762861,NA,NA,NA,1085168,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1078172,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1085664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085666,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083170,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078671,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076158,Extended template,0,0,0,yes,1024,PEN
NA,1495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,8,NA,0,0,0,NA,8,0,0,0,0,NA,8,NA,NA,0,0,NA,0,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,0,NA,NA,NA,NA,NA,8,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,1995,NA,equals,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,8,2,8,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1087485,1088991,NA,NA,NA,NA,NA,NA,1087988,NA,789861,NA,NA,NA,1092994,NA,762861,NA,NA,NA,1096491,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1089495,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1096987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096989,NA,NA,NA,NA,NA,NA,NA,NA,NA,1094493,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089994,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087481,Extended template,0,0,0,yes,1024,PET
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,9,NA,0,0,0,NA,9,0,0,0,0,NA,9,NA,NA,0,0,NA,0,2,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,0,NA,NA,NA,NA,NA,9,Tue Jan 14 13:27:26 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_AA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,767,iequals,legacy,9,2,9,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-12.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,26999,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,12,even,746893,NA,NA,NA,NA,1098806,1100312,NA,NA,NA,NA,NA,NA,1099309,NA,789861,NA,NA,NA,1104314,NA,762861,NA,NA,NA,1107322,NA,NA,24831,NA,NA,24851,757815,NA,NA,NA,1100816,NA,NA,NA,NA,NA,NA,757820,746089,NA,NA,NA,NA,NA,NA,1107817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107819,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107314,995258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101315,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098803,Extended template,0,0,0,yes,1024,TOY
