"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_3","count_blank_screen_test","count_blank_screen_test_1","count_blink_screen","count_blink_screen_1","count_blink_screen_test","count_block_loop","count_calibrate","count_calibrate_2","count_calibrate_3","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimuli","count_inline_stimulus","count_instruction_cue","count_instructions","count_keyboard_response","count_log_end_of_exp","count_log_end_of_practice","count_log_test","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_init","count_new_pygaze_stop_recording","count_new_pygaze_stop_recording_1","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_6","count_new_sketchpad_7","count_new_sketchpad_8","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_press_key","count_record_study","count_reset_feedback","count_sketchpad","count_start_recording_test","count_stimuli","count_stimuli_1","count_stimuli_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_new_sketchpad_6","response_new_sketchpad_7","response_new_sketchpad_8","response_press_key","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_new_sketchpad_6","response_time_new_sketchpad_7","response_time_new_sketchpad_8","response_time_press_key","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_3","time_blank_screen_test","time_blank_screen_test_1","time_blink_screen","time_blink_screen_1","time_blink_screen_test","time_block_loop","time_calibrate","time_calibrate_2","time_calibrate_3","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimuli","time_inline_stimulus","time_instruction_cue","time_instructions","time_keyboard_response","time_log_end_of_exp","time_log_end_of_practice","time_log_test","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_init","time_new_pygaze_stop_recording","time_new_pygaze_stop_recording_1","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_6","time_new_sketchpad_7","time_new_sketchpad_8","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_press_key","time_record_study","time_reset_feedback","time_sketchpad","time_start_recording_test","time_stimuli","time_stimuli_1","time_stimuli_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","68565","NA","NA","67058","NA","NA","67561","NA","NA","NA","61478","NA","NA","72567","NA","NA","54826","NA","NA","76065","NA","NA","NA","24506","NA","NA","NA","49779","NA","69069","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","76560","NA","NA","NA","NA","NA","NA","76562","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","74066","NA","64368","NA","NA","NA","NA","NA","69568","NA","NA","NA","NA","NA","NA","67054","NA","Extended template","0","0","0","yes","1024","PET"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","NA","NA","1","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","0","NA","NA","NA","NA","1","NA","NA","0","NA","NA","NA","1","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","80118","NA","NA","78612","NA","NA","79115","NA","NA","NA","61478","NA","NA","84121","NA","NA","54826","NA","NA","87128","NA","NA","NA","24506","NA","NA","NA","49779","NA","80623","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","87623","NA","NA","NA","NA","NA","NA","87625","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","87121","NA","64368","NA","NA","NA","NA","NA","81122","NA","NA","NA","NA","NA","NA","78608","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","NA","NA","2","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","0","NA","NA","NA","NA","2","NA","NA","0","NA","NA","NA","2","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","90946","NA","NA","89440","NA","NA","89943","NA","NA","NA","61478","NA","NA","94948","NA","NA","54826","NA","NA","98445","NA","NA","NA","24506","NA","NA","NA","49779","NA","91450","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","98941","NA","NA","NA","NA","NA","NA","98943","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","95447","NA","64368","NA","NA","NA","NA","NA","91949","NA","NA","NA","NA","NA","NA","89436","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","NA","NA","3","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","3","NA","NA","NA","NA","NA","NA","3","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","NA","3","NA","NA","0","NA","NA","NA","3","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","102233","NA","NA","100727","NA","NA","101230","NA","NA","NA","61478","NA","NA","106235","NA","NA","54826","NA","NA","109732","NA","NA","NA","24506","NA","NA","NA","49779","NA","102737","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","110228","NA","NA","NA","NA","NA","NA","110230","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","106734","NA","64368","NA","NA","NA","NA","NA","103236","NA","NA","NA","NA","NA","NA","100723","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","NA","NA","4","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","4","NA","NA","NA","NA","NA","NA","4","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","0","NA","NA","NA","NA","4","NA","NA","0","NA","NA","NA","4","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","113524","NA","NA","112018","NA","NA","112521","NA","NA","NA","61478","NA","NA","117526","NA","NA","54826","NA","NA","120545","NA","NA","NA","24506","NA","NA","NA","49779","NA","114028","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","121040","NA","NA","NA","NA","NA","NA","121042","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","120525","NA","64368","NA","NA","NA","NA","NA","114527","NA","NA","NA","NA","NA","NA","112014","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","NA","NA","5","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","5","NA","NA","NA","NA","NA","NA","5","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","NA","5","NA","NA","0","NA","NA","NA","5","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","124332","NA","NA","122826","NA","NA","123329","NA","NA","NA","61478","NA","NA","128334","NA","NA","54826","NA","NA","131831","NA","NA","NA","24506","NA","NA","NA","49779","NA","124836","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","132327","NA","NA","NA","NA","NA","NA","132329","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","129833","NA","64368","NA","NA","NA","NA","NA","125335","NA","NA","NA","NA","NA","NA","122822","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","NA","NA","6","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","0","NA","NA","NA","NA","6","NA","NA","0","NA","NA","NA","6","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","135622","NA","NA","134115","NA","NA","134619","NA","NA","NA","61478","NA","NA","139625","NA","NA","54826","NA","NA","143122","NA","NA","NA","24506","NA","NA","NA","49779","NA","136126","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","143618","NA","NA","NA","NA","NA","NA","143620","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","141124","NA","64368","NA","NA","NA","NA","NA","136625","NA","NA","NA","NA","NA","NA","134111","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","NA","NA","7","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","7","NA","NA","NA","NA","NA","NA","7","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","0","NA","NA","NA","NA","7","NA","NA","0","NA","NA","NA","7","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","146911","NA","NA","145404","NA","NA","145908","NA","NA","NA","61478","NA","NA","150914","NA","NA","54826","NA","NA","153929","NA","NA","NA","24506","NA","NA","NA","49779","NA","147416","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","154424","NA","NA","NA","NA","NA","NA","154426","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","153913","NA","64368","NA","NA","NA","NA","NA","147915","NA","NA","NA","NA","NA","NA","145400","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","NA","NA","8","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","8","NA","NA","NA","NA","NA","NA","8","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","NA","8","NA","NA","0","NA","NA","NA","8","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","157719","NA","NA","156213","NA","NA","156716","NA","NA","NA","61478","NA","NA","161722","NA","NA","54826","NA","NA","165220","NA","NA","NA","24506","NA","NA","NA","49779","NA","158224","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","165715","NA","NA","NA","NA","NA","NA","165717","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","162221","NA","64368","NA","NA","NA","NA","NA","158723","NA","NA","NA","NA","NA","NA","156209","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","NA","NA","9","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","9","NA","NA","NA","NA","NA","NA","9","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","0","NA","NA","NA","NA","9","NA","NA","0","NA","NA","NA","9","NA","Wed Jan 15 11:00:06 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-13.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6651","NA","6651","NA","NA","NA","NA","699","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","38895","NA","NA","169012","NA","NA","167506","NA","NA","168009","NA","NA","NA","61478","NA","NA","173014","NA","NA","54826","NA","NA","176512","NA","NA","NA","24506","NA","NA","NA","49779","NA","169516","NA","NA","NA","NA","NA","NA","NA","NA","49784","38195","NA","NA","177007","NA","NA","NA","NA","NA","NA","177009","NA","NA","24519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","173513","NA","64368","NA","NA","NA","NA","NA","170015","NA","NA","NA","NA","NA","NA","167502","NA","Extended template","0","0","0","yes","1024","CAR"
