"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Inline_Fixation","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_3","count_blank_screen_4","count_blank_screen_5","count_blink_screen","count_blink_screen_1","count_blink_screen_2","count_block_loop","count_calibrate","count_calibrate_2","count_calibrate_3","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inlin_blink","count_inline_blink","count_inline_blink_1","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_keyboard_response","count_log_end_of_practice","count_log_end_of_test","count_log_end_of_trial","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_start_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_6","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_press_key","count_record_study","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_new_sketchpad_6","response_press_key","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_new_sketchpad_6","response_time_press_key","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Inline_Fixation","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_3","time_blank_screen_4","time_blank_screen_5","time_blink_screen","time_blink_screen_1","time_blink_screen_2","time_block_loop","time_calibrate","time_calibrate_2","time_calibrate_3","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inlin_blink","time_inline_blink","time_inline_blink_1","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_keyboard_response","time_log_end_of_practice","time_log_end_of_test","time_log_end_of_trial","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_start_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_6","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_press_key","time_record_study","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2265784","2267292","NA","NA","NA","NA","2266288","NA","NA","NA","1269802","NA","NA","2271297","NA","NA","1264166","NA","NA","2274796","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2267797","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2275291","NA","NA","NA","NA","NA","NA","NA","2275293","NA","NA","NA","NA","NA","NA","NA","NA","NA","2271797","NA","2263015","NA","NA","NA","NA","2268297","NA","NA","NA","NA","NA","NA","NA","NA","2265779","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2277929","2279436","NA","NA","NA","NA","2278432","NA","NA","NA","1269802","NA","NA","2283439","NA","NA","1264166","NA","NA","2286443","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2279941","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2286938","NA","NA","NA","NA","NA","NA","NA","2286940","NA","NA","NA","NA","NA","NA","NA","NA","NA","2286438","NA","2263015","NA","NA","NA","NA","2280440","NA","NA","NA","NA","NA","NA","NA","NA","2277925","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2288792","2290298","NA","NA","NA","NA","2289295","NA","NA","NA","1269802","NA","NA","2294301","NA","NA","1264166","NA","NA","2297799","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2290802","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2298294","NA","NA","NA","NA","NA","NA","NA","2298296","NA","NA","NA","NA","NA","NA","NA","NA","NA","2295800","NA","2263015","NA","NA","NA","NA","2291301","NA","NA","NA","NA","NA","NA","NA","NA","2288789","NA","Extended template","0","0","0","yes","1024","PET"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","3","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2300129","2301635","NA","NA","NA","NA","2300632","NA","NA","NA","1269802","NA","NA","2305638","NA","NA","1264166","NA","NA","2309136","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2302139","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2309631","NA","NA","NA","NA","NA","NA","NA","2309633","NA","NA","NA","NA","NA","NA","NA","NA","NA","2307137","NA","2263015","NA","NA","NA","NA","2302638","NA","NA","NA","NA","NA","NA","NA","NA","2300125","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","4","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","0","NA","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2311598","2313104","NA","NA","NA","NA","2312101","NA","NA","NA","1269802","NA","NA","2317107","NA","NA","1264166","NA","NA","2320604","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2313608","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2321100","NA","NA","NA","NA","NA","NA","NA","2321102","NA","NA","NA","NA","NA","NA","NA","NA","NA","2318606","NA","2263015","NA","NA","NA","NA","2314107","NA","NA","NA","NA","NA","NA","NA","NA","2311595","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2322919","2324425","NA","NA","NA","NA","2323422","NA","NA","NA","1269802","NA","NA","2328428","NA","NA","1264166","NA","NA","2331926","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2324929","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2332421","NA","NA","NA","NA","NA","NA","NA","2332423","NA","NA","NA","NA","NA","NA","NA","NA","NA","2328927","NA","2263015","NA","NA","NA","NA","2325428","NA","NA","NA","NA","NA","NA","NA","NA","2322916","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","6","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","0","NA","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2334236","2335742","NA","NA","NA","NA","2334739","NA","NA","NA","1269802","NA","NA","2339745","NA","NA","1264166","NA","NA","2343242","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2336246","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2343738","NA","NA","NA","NA","NA","NA","NA","2343740","NA","NA","NA","NA","NA","NA","NA","NA","NA","2340244","NA","2263015","NA","NA","NA","NA","2336745","NA","NA","NA","NA","NA","NA","NA","NA","2334233","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","7","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","0","NA","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2345554","2347060","NA","NA","NA","NA","2346057","NA","NA","NA","1269802","NA","NA","2351063","NA","NA","1264166","NA","NA","2354561","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2347564","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2355056","NA","NA","NA","NA","NA","NA","NA","2355058","NA","NA","NA","NA","NA","NA","NA","NA","NA","2352562","NA","2263015","NA","NA","NA","NA","2348063","NA","NA","NA","NA","NA","NA","NA","NA","2345550","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","8","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2356869","2358376","NA","NA","NA","NA","2357373","NA","NA","NA","1269802","NA","NA","2362379","NA","NA","1264166","NA","NA","2365392","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2358880","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2365887","NA","NA","NA","NA","NA","NA","NA","2365889","NA","NA","NA","NA","NA","NA","NA","NA","NA","2365378","NA","2263015","NA","NA","NA","NA","2359379","NA","NA","NA","NA","NA","NA","NA","NA","2356866","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","9","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","0","NA","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Fri Jan 17 14:35:49 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-14.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5635","NA","5635","NA","NA","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","14","even","1248257","NA","NA","NA","2367711","2369217","NA","NA","NA","NA","2368214","NA","NA","NA","1269802","NA","NA","2373220","NA","NA","1264166","NA","NA","2376225","NA","NA","NA","24160","NA","NA","NA","24177","1259118","NA","2369721","NA","NA","NA","NA","NA","NA","NA","NA","1259123","1247642","NA","2376720","NA","NA","NA","NA","NA","NA","NA","2376722","NA","NA","NA","NA","NA","NA","NA","NA","NA","2376219","NA","2263015","NA","NA","NA","NA","2370220","NA","NA","NA","NA","NA","NA","NA","NA","2367708","NA","Extended template","0","0","0","yes","1024","JAR"
