"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_2_1","count_blank_screen_3","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blank","count_inline_blank_1","count_inline_fixation","count_inline_fixation_1","count_inline_script","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_keyboard_response","count_log_end_of_trial","count_log_end_of_trial_1","count_log_test","count_logger","count_loop","count_new_inline_script","count_new_inline_script_2","count_new_inline_script_3","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_stop_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_press_key","count_record_study","count_record_test","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_press_key","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_press_key","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_2_1","time_blank_screen_3","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blank","time_inline_blank_1","time_inline_fixation","time_inline_fixation_1","time_inline_script","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_keyboard_response","time_log_end_of_trial","time_log_end_of_trial_1","time_log_test","time_logger","time_loop","time_new_inline_script","time_new_inline_script_2","time_new_inline_script_3","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_stop_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_press_key","time_record_study","time_record_test","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","1950651","1952158","NA","NA","NA","1951154","NA","NA","NA","1652180","NA","NA","1956161","NA","NA","1645383","NA","NA","1959659","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","1952662","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","1960154","NA","NA","NA","NA","NA","NA","NA","NA","NA","1960156","NA","NA","NA","NA","NA","NA","NA","NA","1956660","NA","1947616","NA","NA","NA","NA","NA","1953161","NA","NA","NA","NA","NA","NA","NA","1950647","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","0","NA","NA","NA","NA","1","NA","NA","NA","0","NA","NA","NA","1","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","1962200","1963706","NA","NA","NA","1962703","NA","NA","NA","1652180","NA","NA","1967709","NA","NA","1645383","NA","NA","1970727","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","1964210","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","1971223","NA","NA","NA","NA","NA","NA","NA","NA","NA","1971225","NA","NA","NA","NA","NA","NA","NA","NA","1970708","NA","1947616","NA","NA","NA","NA","NA","1964709","NA","NA","NA","NA","NA","NA","NA","1962196","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","0","NA","NA","NA","NA","2","NA","NA","NA","0","NA","NA","NA","2","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","1973004","1974510","NA","NA","NA","1973507","NA","NA","NA","1652180","NA","NA","1978513","NA","NA","1645383","NA","NA","1982011","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","1975014","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","1982506","NA","NA","NA","NA","NA","NA","NA","NA","NA","1982508","NA","NA","NA","NA","NA","NA","NA","NA","1979012","NA","1947616","NA","NA","NA","NA","NA","1975513","NA","NA","NA","NA","NA","NA","NA","1973000","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","NA","3","NA","NA","NA","0","NA","NA","NA","3","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","1984303","1985809","NA","NA","NA","1984806","NA","NA","NA","1652180","NA","NA","1989812","NA","NA","1645383","NA","NA","1993310","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","1986313","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","1993805","NA","NA","NA","NA","NA","NA","NA","NA","NA","1993807","NA","NA","NA","NA","NA","NA","NA","NA","1990311","NA","1947616","NA","NA","NA","NA","NA","1986812","NA","NA","NA","NA","NA","NA","NA","1984300","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","0","NA","NA","NA","NA","4","NA","NA","NA","0","NA","NA","NA","4","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","1995594","1997100","NA","NA","NA","1996097","NA","NA","NA","1652180","NA","NA","2001103","NA","NA","1645383","NA","NA","2004601","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","1997604","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","2005096","NA","NA","NA","NA","NA","NA","NA","NA","NA","2005098","NA","NA","NA","NA","NA","NA","NA","NA","2002602","NA","1947616","NA","NA","NA","NA","NA","1998103","NA","NA","NA","NA","NA","NA","NA","1995590","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","NA","5","NA","NA","NA","0","NA","NA","NA","5","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","2006875","2008381","NA","NA","NA","2007378","NA","NA","NA","1652180","NA","NA","2012384","NA","NA","1645383","NA","NA","2015394","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","2008885","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","2015889","NA","NA","NA","NA","NA","NA","NA","NA","NA","2015891","NA","NA","NA","NA","NA","NA","NA","NA","2015383","NA","1947616","NA","NA","NA","NA","NA","2009384","NA","NA","NA","NA","NA","NA","NA","2006872","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","0","NA","NA","NA","NA","6","NA","NA","NA","0","NA","NA","NA","6","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","2017669","2019175","NA","NA","NA","2018172","NA","NA","NA","1652180","NA","NA","2023177","NA","NA","1645383","NA","NA","2026675","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","2019679","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","2027171","NA","NA","NA","NA","NA","NA","NA","NA","NA","2027173","NA","NA","NA","NA","NA","NA","NA","NA","2024677","NA","1947616","NA","NA","NA","NA","NA","2020178","NA","NA","NA","NA","NA","NA","NA","2017665","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","0","NA","NA","NA","NA","7","NA","NA","NA","0","NA","NA","NA","7","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","2028952","2030458","NA","NA","NA","2029455","NA","NA","NA","1652180","NA","NA","2034461","NA","NA","1645383","NA","NA","2037959","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","2030962","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","2038454","NA","NA","NA","NA","NA","NA","NA","NA","NA","2038456","NA","NA","NA","NA","NA","NA","NA","NA","2035960","NA","1947616","NA","NA","NA","NA","NA","2031461","NA","NA","NA","NA","NA","NA","NA","2028948","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","NA","8","NA","NA","NA","0","NA","NA","NA","8","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","2040236","2041742","NA","NA","NA","2040739","NA","NA","NA","1652180","NA","NA","2045745","NA","NA","1645383","NA","NA","2048761","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","2042246","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","2049256","NA","NA","NA","NA","NA","NA","NA","NA","NA","2049258","NA","NA","NA","NA","NA","NA","NA","NA","2048744","NA","1947616","NA","NA","NA","NA","NA","2042745","NA","NA","NA","NA","NA","NA","NA","2040232","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","0","NA","NA","NA","NA","9","NA","NA","NA","0","NA","NA","NA","9","NA","Mon Jan 20 12:14:11 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-15.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","6796","NA","6796","NA","NA","NA","NA","832","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","15","odd","1629444","NA","NA","2051037","2052544","NA","NA","NA","2051540","NA","NA","NA","1652180","NA","NA","2056547","NA","NA","1645383","NA","NA","2059561","NA","NA","NA","23600","NA","NA","NA","23603","1640335","NA","2053048","NA","NA","NA","NA","NA","NA","NA","NA","NA","1640340","1628611","NA","2060056","NA","NA","NA","NA","NA","NA","NA","NA","NA","2060058","NA","NA","NA","NA","NA","NA","NA","NA","2059546","NA","1947616","NA","NA","NA","NA","NA","2053547","NA","NA","NA","NA","NA","NA","NA","2051033","NA","Extended template","0","0","0","yes","1024","FOX"
