"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_1_1","count_blank_screen_1_1_1","count_blank_screen_2","count_blink_screen","count_blink_screen_1_1_1","count_blink_screen_1_2","count_blink_screen_2_1","count_block_loop","count_calibrate","count_calibrate_1","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_calibrate","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_trial","count_log_study","count_log_test","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_7","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_record_study_1","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_study","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_1_1","time_blank_screen_1_1_1","time_blank_screen_2","time_blink_screen","time_blink_screen_1_1_1","time_blink_screen_1_2","time_blink_screen_2_1","time_block_loop","time_calibrate","time_calibrate_1","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_calibrate","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_trial","time_log_study","time_log_test","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_7","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_record_study_1","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_study","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1355652","NA","NA","NA","NA","1356155","NA","NA","NA","NA","1349280","NA","1361160","NA","NA","1348680","NA","NA","1364177","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1357662","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1364673","NA","NA","NA","NA","NA","NA","NA","1364675","NA","NA","NA","NA","NA","NA","1357158","NA","1364159","NA","1352756","NA","NA","NA","NA","1358161","NA","NA","NA","NA","NA","NA","NA","NA","1355647","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","1","NA","0","NA","NA","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1367083","NA","NA","NA","NA","1367586","NA","NA","NA","NA","1349280","NA","1372591","NA","NA","1348680","NA","NA","1376089","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1369093","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1376584","NA","NA","NA","NA","NA","NA","NA","1376586","NA","NA","NA","NA","NA","NA","1368589","NA","1374090","NA","1352756","NA","NA","NA","NA","1369592","NA","NA","NA","NA","NA","NA","NA","NA","1367079","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","NA","NA","NA","NA","2","NA","NA","NA","NA","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","0","NA","NA","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1378405","NA","NA","NA","NA","1378908","NA","NA","NA","NA","1349280","NA","1383913","NA","NA","1348680","NA","NA","1387411","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1380415","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1387906","NA","NA","NA","NA","NA","NA","NA","1387908","NA","NA","NA","NA","NA","NA","1379911","NA","1384412","NA","1352756","NA","NA","NA","NA","1380914","NA","NA","NA","NA","NA","NA","NA","NA","1378401","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","NA","NA","NA","NA","3","NA","NA","NA","NA","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","3","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","3","NA","3","NA","0","NA","NA","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1389889","NA","NA","NA","NA","1390392","NA","NA","NA","NA","1349280","NA","1395397","NA","NA","1348680","NA","NA","1398412","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1391899","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1398907","NA","NA","NA","NA","NA","NA","NA","1398909","NA","NA","NA","NA","NA","NA","1391395","NA","1398396","NA","1352756","NA","NA","NA","NA","1392398","NA","NA","NA","NA","NA","NA","NA","NA","1389885","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","NA","NA","NA","NA","4","NA","NA","NA","NA","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","4","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","4","NA","4","NA","0","NA","NA","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1400714","NA","NA","NA","NA","1401217","NA","NA","NA","NA","1349280","NA","1406222","NA","NA","1348680","NA","NA","1409228","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1402724","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1409723","NA","NA","NA","NA","NA","NA","NA","1409725","NA","NA","NA","NA","NA","NA","1402220","NA","1409221","NA","1352756","NA","NA","NA","NA","1403223","NA","NA","NA","NA","NA","NA","NA","NA","1400710","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","NA","NA","NA","NA","5","NA","NA","NA","NA","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","5","NA","5","NA","0","NA","NA","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1411528","NA","NA","NA","NA","1412031","NA","NA","NA","NA","1349280","NA","1417036","NA","NA","1348680","NA","NA","1420533","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1413538","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1421029","NA","NA","NA","NA","NA","NA","NA","1421031","NA","NA","NA","NA","NA","NA","1413034","NA","1417535","NA","1352756","NA","NA","NA","NA","1414037","NA","NA","NA","NA","NA","NA","NA","NA","1411524","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","NA","NA","NA","NA","6","NA","NA","NA","NA","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","6","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","6","NA","0","NA","NA","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1422835","NA","NA","NA","NA","1423338","NA","NA","NA","NA","1349280","NA","1428343","NA","NA","1348680","NA","NA","1431840","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1424845","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1432336","NA","NA","NA","NA","NA","NA","NA","1432338","NA","NA","NA","NA","NA","NA","1424341","NA","1428842","NA","1352756","NA","NA","NA","NA","1425344","NA","NA","NA","NA","NA","NA","NA","NA","1422831","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","NA","NA","NA","NA","7","NA","NA","NA","NA","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","7","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","7","NA","7","NA","0","NA","NA","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1434142","NA","NA","NA","NA","1434645","NA","NA","NA","NA","1349280","NA","1439650","NA","NA","1348680","NA","NA","1443147","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1436152","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1443643","NA","NA","NA","NA","NA","NA","NA","1443645","NA","NA","NA","NA","NA","NA","1435648","NA","1441149","NA","1352756","NA","NA","NA","NA","1436651","NA","NA","NA","NA","NA","NA","NA","NA","1434138","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","NA","NA","NA","NA","8","NA","NA","NA","NA","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","8","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","8","NA","8","NA","0","NA","NA","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1445448","NA","NA","NA","NA","1445951","NA","NA","NA","NA","1349280","NA","1450956","NA","NA","1348680","NA","NA","1453962","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1447458","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1454457","NA","NA","NA","NA","NA","NA","NA","1454459","NA","NA","NA","NA","NA","NA","1446954","NA","1453955","NA","1352756","NA","NA","NA","NA","1447957","NA","NA","NA","NA","NA","NA","NA","NA","1445444","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","NA","NA","NA","NA","9","NA","NA","NA","NA","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","9","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","9","NA","9","NA","0","NA","NA","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Thu Jan 23 13:33:44 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-17.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","space","NA","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","599","NA","599","NA","NA","NA","NA","968","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","17","odd","1332664","NA","NA","1456260","NA","NA","NA","NA","1456763","NA","NA","NA","NA","1349280","NA","1461768","NA","NA","1348680","NA","NA","1465266","NA","NA","NA","4724","NA","NA","NA","4727","1343632","NA","1458270","NA","NA","NA","NA","NA","NA","NA","NA","NA","1343637","1331695","NA","NA","1465761","NA","NA","NA","NA","NA","NA","NA","1465763","NA","NA","NA","NA","NA","NA","1457766","NA","1462267","NA","1352756","NA","NA","NA","NA","1458769","NA","NA","NA","NA","NA","NA","NA","NA","1456256","NA","Extended template","0","0","0","yes","1024","MUG"
