"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_2_1","count_blank_screen_4","count_blink_screen","count_blink_screen_3","count_blink_screen_3_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eytracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_trial","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_log","count_new_pygaze_log_1","count_new_pygaze_start_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_4","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_2_1","time_blank_screen_4","time_blink_screen","time_blink_screen_3","time_blink_screen_3_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eytracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_trial","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_log","time_new_pygaze_log_1","time_new_pygaze_start_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_4","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","342239","343748","NA","NA","NA","342744","NA","NA","NA","28613","NA","NA","347752","NA","NA","26218","NA","NA","350764","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","344253","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","351259","NA","NA","NA","NA","NA","351261","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","350752","NA","340236","NA","NA","NA","344753","NA","NA","NA","NA","NA","NA","NA","342235","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","NA","1","NA","NA","NA","0","NA","NA","NA","1","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","353319","354827","NA","NA","NA","353823","NA","NA","NA","28613","NA","NA","358831","NA","NA","26218","NA","NA","362331","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","355331","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","362826","NA","NA","NA","NA","NA","362828","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","360331","NA","340236","NA","NA","NA","355831","NA","NA","NA","NA","NA","NA","NA","353315","NA","Extended template","0","0","0","yes","1024","PET"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","NA","2","NA","NA","NA","0","NA","NA","NA","2","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","364621","366129","NA","NA","NA","365125","NA","NA","NA","28613","NA","NA","370132","NA","NA","26218","NA","NA","373631","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","366633","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","374126","NA","NA","NA","NA","NA","374128","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","370631","NA","340236","NA","NA","NA","367132","NA","NA","NA","NA","NA","NA","NA","364617","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","NA","3","NA","NA","NA","0","NA","NA","NA","3","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","375987","377495","NA","NA","NA","376491","NA","NA","NA","28613","NA","NA","381497","NA","NA","26218","NA","NA","384513","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","377999","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","385008","NA","NA","NA","NA","NA","385010","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","384498","NA","340236","NA","NA","NA","378498","NA","NA","NA","NA","NA","NA","NA","375982","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","NA","4","NA","NA","NA","0","NA","NA","NA","4","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","386805","388313","NA","NA","NA","387309","NA","NA","NA","28613","NA","NA","392316","NA","NA","26218","NA","NA","395815","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","388817","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","396310","NA","NA","NA","NA","NA","396312","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","393815","NA","340236","NA","NA","NA","389316","NA","NA","NA","NA","NA","NA","NA","386800","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","NA","5","NA","NA","NA","0","NA","NA","NA","5","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","398105","399613","NA","NA","NA","398609","NA","NA","NA","28613","NA","NA","403617","NA","NA","26218","NA","NA","407116","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","400117","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","407611","NA","NA","NA","NA","NA","407613","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","404116","NA","340236","NA","NA","NA","400616","NA","NA","NA","NA","NA","NA","NA","398101","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","NA","6","NA","NA","NA","0","NA","NA","NA","6","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","409406","410914","NA","NA","NA","409910","NA","NA","NA","28613","NA","NA","414918","NA","NA","26218","NA","NA","418417","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","411418","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","418912","NA","NA","NA","NA","NA","418914","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","415417","NA","340236","NA","NA","NA","411917","NA","NA","NA","NA","NA","NA","NA","409401","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","NA","7","NA","NA","NA","0","NA","NA","NA","7","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","420708","422216","NA","NA","NA","421212","NA","NA","NA","28613","NA","NA","426220","NA","NA","26218","NA","NA","429229","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","422720","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","429724","NA","NA","NA","NA","NA","429726","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","429219","NA","340236","NA","NA","NA","423219","NA","NA","NA","NA","NA","NA","NA","420704","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","NA","8","NA","NA","NA","0","NA","NA","NA","8","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","431521","433029","NA","NA","NA","432025","NA","NA","NA","28613","NA","NA","437033","NA","NA","26218","NA","NA","440046","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","433533","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","440541","NA","NA","NA","NA","NA","440543","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","440033","NA","340236","NA","NA","NA","434033","NA","NA","NA","NA","NA","NA","NA","431517","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","NA","9","NA","NA","NA","0","NA","NA","NA","9","NA","Tue Jan 28 14:09:06 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-18.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","2394","NA","2394","NA","NA","NA","NA","611","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","18","even","10309","NA","NA","442336","443844","NA","NA","NA","442840","NA","NA","NA","28613","NA","NA","447847","NA","NA","26218","NA","NA","451346","NA","NA","NA","4170","NA","NA","NA","4189","21170","NA","444348","NA","NA","NA","NA","NA","NA","NA","NA","21176","9697","NA","NA","451841","NA","NA","NA","NA","NA","451843","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","449346","NA","340236","NA","NA","NA","444847","NA","NA","NA","NA","NA","NA","NA","442332","NA","Extended template","0","0","0","yes","1024","PEN"
