"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_3","count_blank_screen_3_1","count_blank_screen_4","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_practice","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_log","count_new_pygaze_log_1","count_new_pygaze_start_recording","count_new_pygaze_start_recording_1","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_3","time_blank_screen_3_1","time_blank_screen_4","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_practice","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_log","time_new_pygaze_log_1","time_new_pygaze_start_recording","time_new_pygaze_start_recording_1","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","1949203","1950711","NA","NA","NA","NA","1949706","NA","NA","NA","NA","1222713","1954713","NA","NA","1158981","NA","NA","1958212","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","1951215","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","1958707","NA","NA","NA","NA","NA","1958709","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1956212","NA","1946131","NA","NA","1951714","NA","NA","NA","NA","NA","NA","NA","NA","1949199","NA","Extended template","0","0","0","yes","1024","PET"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","1961142","1962649","NA","NA","NA","NA","1961646","NA","NA","NA","NA","1222713","1966651","NA","NA","1158981","NA","NA","1970149","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","1963153","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","1970644","NA","NA","NA","NA","NA","1970646","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1967150","NA","1946131","NA","NA","1963652","NA","NA","NA","NA","NA","NA","NA","NA","1961138","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","1972436","1973942","NA","NA","NA","NA","1972939","NA","NA","NA","NA","1222713","1977944","NA","NA","1158981","NA","NA","1981442","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","1974446","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","1981937","NA","NA","NA","NA","NA","1981939","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1978443","NA","1946131","NA","NA","1974945","NA","NA","NA","NA","NA","NA","NA","NA","1972432","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","1983730","1985237","NA","NA","NA","NA","1984233","NA","NA","NA","NA","1222713","1989239","NA","NA","1158981","NA","NA","1992242","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","1985741","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","1992737","NA","NA","NA","NA","NA","1992739","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1992238","NA","1946131","NA","NA","1986240","NA","NA","NA","NA","NA","NA","NA","NA","1983726","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","1994514","1996020","NA","NA","NA","NA","1995017","NA","NA","NA","NA","1222713","2000022","NA","NA","1158981","NA","NA","2003520","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","1996524","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","2004015","NA","NA","NA","NA","NA","2004017","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2001521","NA","1946131","NA","NA","1997023","NA","NA","NA","NA","NA","NA","NA","NA","1994510","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","2005789","2007296","NA","NA","NA","NA","2006293","NA","NA","NA","NA","1222713","2011298","NA","NA","1158981","NA","NA","2014795","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","2007800","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","2015291","NA","NA","NA","NA","NA","2015293","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2011797","NA","1946131","NA","NA","2008299","NA","NA","NA","NA","NA","NA","NA","NA","2005785","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","2017079","2018585","NA","NA","NA","NA","2017582","NA","NA","NA","NA","1222713","2022587","NA","NA","1158981","NA","NA","2025592","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","2019089","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","2026087","NA","NA","NA","NA","NA","2026089","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2025586","NA","1946131","NA","NA","2019588","NA","NA","NA","NA","NA","NA","NA","NA","2017075","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","2027873","2029379","NA","NA","NA","NA","2028376","NA","NA","NA","NA","1222713","2033381","NA","NA","1158981","NA","NA","2036392","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","2029883","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","2036887","NA","NA","NA","NA","NA","2036889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2036380","NA","1946131","NA","NA","2030382","NA","NA","NA","NA","NA","NA","NA","NA","2027868","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","2038661","2040167","NA","NA","NA","NA","2039164","NA","NA","NA","NA","1222713","2044169","NA","NA","1158981","NA","NA","2047666","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","2040671","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","2048162","NA","NA","NA","NA","NA","2048164","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2045668","NA","1946131","NA","NA","2041170","NA","NA","NA","NA","NA","NA","NA","NA","2038657","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Wed Jan 29 14:25:36 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-19.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","63731","NA","63731","NA","NA","NA","NA","948","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","19","odd","1143041","NA","NA","2049948","2051454","NA","NA","NA","NA","2050451","NA","NA","NA","NA","1222713","2055456","NA","NA","1158981","NA","NA","2058954","NA","NA","NA","3678","NA","NA","NA","3681","1153933","NA","2051958","NA","NA","NA","NA","NA","NA","NA","NA","1153938","1142092","NA","NA","2059449","NA","NA","NA","NA","NA","2059451","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2056955","NA","1946131","NA","NA","2052457","NA","NA","NA","NA","NA","NA","NA","NA","2049944","NA","Extended template","0","0","0","yes","1024","SEA"
