"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_1_1","count_blank_screen_1_1_1","count_blank_screen_2","count_blank_screen_2_1","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_log_1","count_new_pygaze_log_2","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_1_1","time_blank_screen_1_1_1","time_blank_screen_2","time_blank_screen_2_1","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_log_1","time_new_pygaze_log_2","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","87356","88863","NA","NA","NA","NA","87859","NA","NA","NA","82957","NA","NA","92867","NA","NA","67162","NA","NA","96364","NA","NA","NA","4583","NA","NA","NA","62115","NA","89368","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","96862","NA","NA","4611","96860","NA","NA","NA","NA","NA","NA","NA","NA","NA","93366","NA","85336","NA","NA","NA","89867","NA","NA","NA","NA","NA","NA","NA","87352","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","NA","1","NA","NA","NA","0","NA","NA","NA","1","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","98910","100416","NA","NA","NA","NA","99413","NA","NA","NA","82957","NA","NA","104420","NA","NA","67162","NA","NA","107918","NA","NA","NA","4583","NA","NA","NA","62115","NA","100921","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","108415","NA","NA","4611","108413","NA","NA","NA","NA","NA","NA","NA","NA","NA","105919","NA","85336","NA","NA","NA","101420","NA","NA","NA","NA","NA","NA","NA","98906","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","NA","2","NA","NA","NA","0","NA","NA","NA","2","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","110218","111724","NA","NA","NA","NA","110721","NA","NA","NA","82957","NA","NA","115727","NA","NA","67162","NA","NA","119225","NA","NA","NA","4583","NA","NA","NA","62115","NA","112228","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","119722","NA","NA","4611","119720","NA","NA","NA","NA","NA","NA","NA","NA","NA","116226","NA","85336","NA","NA","NA","112727","NA","NA","NA","NA","NA","NA","NA","110214","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","NA","3","NA","NA","NA","0","NA","NA","NA","3","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","121532","123038","NA","NA","NA","NA","122035","NA","NA","NA","82957","NA","NA","127041","NA","NA","67162","NA","NA","130539","NA","NA","NA","4583","NA","NA","NA","62115","NA","123542","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","131036","NA","NA","4611","131034","NA","NA","NA","NA","NA","NA","NA","NA","NA","128540","NA","85336","NA","NA","NA","124041","NA","NA","NA","NA","NA","NA","NA","121528","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","NA","4","NA","NA","NA","0","NA","NA","NA","4","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","132840","134346","NA","NA","NA","NA","133343","NA","NA","NA","82957","NA","NA","138349","NA","NA","67162","NA","NA","141847","NA","NA","NA","4583","NA","NA","NA","62115","NA","134850","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","142344","NA","NA","4611","142342","NA","NA","NA","NA","NA","NA","NA","NA","NA","138848","NA","85336","NA","NA","NA","135349","NA","NA","NA","NA","NA","NA","NA","132836","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","NA","5","NA","NA","NA","0","NA","NA","NA","5","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","144146","145652","NA","NA","NA","NA","144649","NA","NA","NA","82957","NA","NA","149655","NA","NA","67162","NA","NA","152673","NA","NA","NA","4583","NA","NA","NA","62115","NA","146156","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","153171","NA","NA","4611","153169","NA","NA","NA","NA","NA","NA","NA","NA","NA","152654","NA","85336","NA","NA","NA","146655","NA","NA","NA","NA","NA","NA","NA","144142","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","NA","6","NA","NA","NA","0","NA","NA","NA","6","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","154972","156478","NA","NA","NA","NA","155475","NA","NA","NA","82957","NA","NA","160481","NA","NA","67162","NA","NA","163980","NA","NA","NA","4583","NA","NA","NA","62115","NA","156983","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","164477","NA","NA","4611","164475","NA","NA","NA","NA","NA","NA","NA","NA","NA","160981","NA","85336","NA","NA","NA","157482","NA","NA","NA","NA","NA","NA","NA","154969","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","NA","7","NA","NA","NA","0","NA","NA","NA","7","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","166281","167787","NA","NA","NA","NA","166784","NA","NA","NA","82957","NA","NA","171791","NA","NA","67162","NA","NA","174807","NA","NA","NA","4583","NA","NA","NA","62115","NA","168292","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","175304","NA","NA","4611","175302","NA","NA","NA","NA","NA","NA","NA","NA","NA","174790","NA","85336","NA","NA","NA","168791","NA","NA","NA","NA","NA","NA","NA","166278","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","NA","8","NA","NA","NA","0","NA","NA","NA","8","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","177107","178613","NA","NA","NA","NA","177610","NA","NA","NA","82957","NA","NA","182616","NA","NA","67162","NA","NA","186113","NA","NA","NA","4583","NA","NA","NA","62115","NA","179117","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","186611","NA","NA","4611","186609","NA","NA","NA","NA","NA","NA","NA","NA","NA","184115","NA","85336","NA","NA","NA","179616","NA","NA","NA","NA","NA","NA","NA","177103","NA","Extended template","0","0","0","yes","1024","PET"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","NA","NA","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","NA","9","NA","NA","NA","0","NA","NA","NA","9","NA","Thu Jan 30 14:07:37 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-21.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","15794","NA","15794","NA","NA","NA","NA","619","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","21","odd","51277","NA","NA","188414","189920","NA","NA","NA","NA","188917","NA","NA","NA","82957","NA","NA","193923","NA","NA","67162","NA","NA","196940","NA","NA","NA","4583","NA","NA","NA","62115","NA","190424","NA","NA","NA","NA","NA","NA","NA","NA","62120","50657","NA","NA","NA","NA","NA","NA","NA","197438","NA","NA","4611","197436","NA","NA","NA","NA","NA","NA","NA","NA","NA","196922","NA","85336","NA","NA","NA","190923","NA","NA","NA","NA","NA","NA","NA","188410","NA","Extended template","0","0","0","yes","1024","FOX"
