"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_2_1","count_blank_screen_3","count_blank_screen_3_1","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_test","count_log_end_of_trial","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_log","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_record_test","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_recording","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_2_1","time_blank_screen_3","time_blank_screen_3_1","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_test","time_log_end_of_trial","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_log","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_record_test","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_recording","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1269991","1271497","NA","NA","NA","NA","1270494","NA","NA","NA","711001","NA","NA","1275498","NA","NA","651440","NA","NA","1278517","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1272000","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1279013","NA","NA","NA","NA","NA","1279015","NA","NA","NA","NA","NA","NA","NA","NA","1278498","NA","1267075","NA","NA","NA","NA","1272499","NA","NA","NA","NA","NA","NA","NA","NA","1269987","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","NA","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1281144","1282651","NA","NA","NA","NA","1281647","NA","NA","NA","711001","NA","NA","1286653","NA","NA","651440","NA","NA","1289667","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1283155","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1290162","NA","NA","NA","NA","NA","1290164","NA","NA","NA","NA","NA","NA","NA","NA","1289653","NA","1267075","NA","NA","NA","NA","1283654","NA","NA","NA","NA","NA","NA","NA","NA","1281140","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","NA","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1291948","1293454","NA","NA","NA","NA","1292451","NA","NA","NA","711001","NA","NA","1297456","NA","NA","651440","NA","NA","1300955","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1293958","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1301450","NA","NA","NA","NA","NA","1301452","NA","NA","NA","NA","NA","NA","NA","NA","1298956","NA","1267075","NA","NA","NA","NA","1294457","NA","NA","NA","NA","NA","NA","NA","NA","1291944","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","NA","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1303236","1304742","NA","NA","NA","NA","1303739","NA","NA","NA","711001","NA","NA","1308745","NA","NA","651440","NA","NA","1312243","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1305246","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1312738","NA","NA","NA","NA","NA","1312740","NA","NA","NA","NA","NA","NA","NA","NA","1309244","NA","1267075","NA","NA","NA","NA","1305745","NA","NA","NA","NA","NA","NA","NA","NA","1303233","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1314553","1316059","NA","NA","NA","NA","1315056","NA","NA","NA","711001","NA","NA","1320062","NA","NA","651440","NA","NA","1323559","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1316563","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1324055","NA","NA","NA","NA","NA","1324057","NA","NA","NA","NA","NA","NA","NA","NA","1321561","NA","1267075","NA","NA","NA","NA","1317062","NA","NA","NA","NA","NA","NA","NA","NA","1314549","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","NA","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1325844","1327350","NA","NA","NA","NA","1326347","NA","NA","NA","711001","NA","NA","1331353","NA","NA","651440","NA","NA","1334850","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1327854","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1335345","NA","NA","NA","NA","NA","1335347","NA","NA","NA","NA","NA","NA","NA","NA","1331852","NA","1267075","NA","NA","NA","NA","1328353","NA","NA","NA","NA","NA","NA","NA","NA","1325840","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","NA","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1337126","1338632","NA","NA","NA","NA","1337629","NA","NA","NA","711001","NA","NA","1342636","NA","NA","651440","NA","NA","1346133","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1339137","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1346629","NA","NA","NA","NA","NA","1346631","NA","NA","NA","NA","NA","NA","NA","NA","1343135","NA","1267075","NA","NA","NA","NA","1339636","NA","NA","NA","NA","NA","NA","NA","NA","1337123","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","NA","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1348412","1349918","NA","NA","NA","NA","1348915","NA","NA","NA","711001","NA","NA","1353922","NA","NA","651440","NA","NA","1357419","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1350423","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1357915","NA","NA","NA","NA","NA","1357917","NA","NA","NA","NA","NA","NA","NA","NA","1355421","NA","1267075","NA","NA","NA","NA","1350922","NA","NA","NA","NA","NA","NA","NA","NA","1348408","NA","Extended template","0","0","0","yes","1024","PET"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","NA","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1359700","1361206","NA","NA","NA","NA","1360203","NA","NA","NA","711001","NA","NA","1365209","NA","NA","651440","NA","NA","1368217","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1361710","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1368712","NA","NA","NA","NA","NA","1368714","NA","NA","NA","NA","NA","NA","NA","NA","1368208","NA","1267075","NA","NA","NA","NA","1362209","NA","NA","NA","NA","NA","NA","NA","NA","1359696","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","NA","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","NA","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Mon Feb 17 13:59:41 2025","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_CC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-22.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","59560","NA","59560","NA","NA","NA","NA","972","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","22","even","635474","NA","NA","1370498","1372002","NA","NA","NA","NA","1371000","NA","NA","NA","711001","NA","NA","1376004","NA","NA","651440","NA","NA","1379501","NA","NA","NA","3714","NA","NA","NA","3717","646393","NA","1372506","NA","NA","NA","NA","NA","NA","NA","NA","646398","634501","NA","NA","NA","1379997","NA","NA","NA","NA","NA","1379999","NA","NA","NA","NA","NA","NA","NA","NA","1376503","NA","1267075","NA","NA","NA","NA","1373005","NA","NA","NA","NA","NA","NA","NA","NA","1370494","NA","Extended template","0","0","0","yes","1024","CAT"
