List_Number,SOA,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_end_of_familiarization,correct_instructions,correct_keyboard_response,correct_new_keyboard_response,count_Familiarization,count_Test_loop,count_about_this_template,count_blank_screen,count_blank_screen_1,count_blank_screen_2,count_blank_screen_3,count_blank_screen_3_1,count_blank_screen_4,count_blink_screen,count_blink_screen_1,count_blink_screen_1_1,count_block_loop,count_calibrate,count_calibrate_1,count_delay,count_delay_1,count_end_of_experiment,count_end_of_familiarization,count_end_of_practice,count_end_of_study,count_end_of_trial,count_end_of_trial_1,count_equal_instruction,count_ex_instruction,count_experiment,count_experimental_loop,count_experimental_loop_1,count_experimenter,count_eyetracking_init,count_familiarization_sequence,count_feedback,count_fixation_NT,count_fixation_NT_1,count_fixation_NT_2,count_inline_blink,count_inline_blink_1,count_inline_fixation,count_inline_fixation_1,count_inline_stimulus,count_inline_stimulus_1,count_instruction_cue,count_instructions,count_key_press,count_keyboard_response,count_log_end_of_practice,count_logger,count_loop,count_new_inline_script,count_new_keyboard_response,count_new_logger,count_new_logger_1,count_new_logger_1_1,count_new_loop,count_new_pygaze_log,count_new_pygaze_log_1,count_new_pygaze_start_recording,count_new_pygaze_start_recording_1,count_new_sketchpad,count_new_sketchpad_1,count_new_sketchpad_2,count_new_sketchpad_3,count_plus_instruction,count_post_cue,count_post_cue_1,count_practice_loop,count_reset_feedback,count_sketchpad,count_stimuli,count_stimuli_1,count_stimulus_test,count_stop_study,count_stop_test,count_test_instructions,count_test_log,count_test_sequence,count_trial_sequence,count_trial_sequence_1,count_trial_sequence_1_1,datetime,description,disable_garbage_collection,e_SO,empty_column,eq_sq,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,instruction,keyboard_backend,live_row,live_row_Familiarization,live_row_practice_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_end_of_familiarization,response_end_of_practice,response_end_of_study,response_experimenter,response_feedback,response_instructions,response_key_press,response_keyboard_response,response_new_keyboard_response,response_new_sketchpad,response_new_sketchpad_1,response_new_sketchpad_3,response_test_instructions,response_time,response_time_end_of_experiment,response_time_end_of_familiarization,response_time_end_of_practice,response_time_end_of_study,response_time_experimenter,response_time_feedback,response_time_instructions,response_time_key_press,response_time_keyboard_response,response_time_new_keyboard_response,response_time_new_sketchpad,response_time_new_sketchpad_1,response_time_new_sketchpad_3,response_time_test_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Familiarization,time_Test_loop,time_about_this_template,time_blank_screen,time_blank_screen_1,time_blank_screen_2,time_blank_screen_3,time_blank_screen_3_1,time_blank_screen_4,time_blink_screen,time_blink_screen_1,time_blink_screen_1_1,time_block_loop,time_calibrate,time_calibrate_1,time_delay,time_delay_1,time_end_of_experiment,time_end_of_familiarization,time_end_of_practice,time_end_of_study,time_end_of_trial,time_end_of_trial_1,time_equal_instruction,time_ex_instruction,time_experiment,time_experimental_loop,time_experimental_loop_1,time_experimenter,time_eyetracking_init,time_familiarization_sequence,time_feedback,time_fixation_NT,time_fixation_NT_1,time_fixation_NT_2,time_inline_blink,time_inline_blink_1,time_inline_fixation,time_inline_fixation_1,time_inline_stimulus,time_inline_stimulus_1,time_instruction_cue,time_instructions,time_key_press,time_keyboard_response,time_log_end_of_practice,time_logger,time_loop,time_new_inline_script,time_new_keyboard_response,time_new_logger,time_new_logger_1,time_new_logger_1_1,time_new_loop,time_new_pygaze_log,time_new_pygaze_log_1,time_new_pygaze_start_recording,time_new_pygaze_start_recording_1,time_new_sketchpad,time_new_sketchpad_1,time_new_sketchpad_2,time_new_sketchpad_3,time_plus_instruction,time_post_cue,time_post_cue_1,time_practice_loop,time_reset_feedback,time_sketchpad,time_stimuli,time_stimuli_1,time_stimulus_test,time_stop_study,time_stop_test,time_test_instructions,time_test_log,time_test_sequence,time_trial_sequence,time_trial_sequence_1,time_trial_sequence_1_1,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,0,NA,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,0,2,0,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1521401,1522910,NA,NA,NA,NA,1521906,NA,NA,NA,NA,642642,1526916,NA,NA,305084,NA,NA,1529920,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1523416,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1530415,NA,NA,NA,NA,NA,1530417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1529916,NA,1518540,NA,NA,1523916,NA,NA,NA,NA,NA,NA,NA,NA,1521397,NA,Extended template,0,0,0,yes,1024,HAT
NA,495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,NA,0,0,0,0,1,NA,NA,NA,0,NA,0,NA,0,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,2995,NA,equals,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,1,2,1,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1532946,1534453,NA,NA,NA,NA,1533450,NA,NA,NA,NA,642642,1538456,NA,NA,305084,NA,NA,1541954,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1534957,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1542449,NA,NA,NA,NA,NA,1542451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538955,NA,1518540,NA,NA,1535456,NA,NA,NA,NA,NA,NA,NA,NA,1532942,NA,Extended template,0,0,0,yes,1024,MUG
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,0,0,2,NA,0,0,0,0,2,NA,NA,NA,0,NA,0,NA,0,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,2,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,2,2,2,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1544232,1545738,NA,NA,NA,NA,1544735,NA,NA,NA,NA,642642,1549741,NA,NA,305084,NA,NA,1552752,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1546242,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1553247,NA,NA,NA,NA,NA,1553249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552740,NA,1518540,NA,NA,1546741,NA,NA,NA,NA,NA,NA,NA,NA,1544228,NA,Extended template,0,0,0,yes,1024,FOX
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,3,3,NA,NA,NA,NA,3,NA,NA,NA,0,0,3,NA,0,0,0,0,3,NA,NA,NA,0,NA,0,NA,0,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,3,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,3,2,3,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1555028,1556534,NA,NA,NA,NA,1555531,NA,NA,NA,NA,642642,1560537,NA,NA,305084,NA,NA,1563552,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1557038,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1564047,NA,NA,NA,NA,NA,1564049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1563536,NA,1518540,NA,NA,1557537,NA,NA,NA,NA,NA,NA,NA,NA,1555025,NA,Extended template,0,0,0,yes,1024,JAR
NA,495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,4,4,NA,NA,NA,NA,4,NA,NA,NA,0,0,4,NA,0,0,0,0,4,NA,NA,NA,0,NA,0,NA,0,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,4,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,2995,NA,equals,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,4,2,4,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1565820,1567326,NA,NA,NA,NA,1566323,NA,NA,NA,NA,642642,1571329,NA,NA,305084,NA,NA,1574827,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1567830,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1575322,NA,NA,NA,NA,NA,1575324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1571828,NA,1518540,NA,NA,1568329,NA,NA,NA,NA,NA,NA,NA,NA,1565815,NA,Extended template,0,0,0,yes,1024,CAT
NA,1495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,5,5,NA,NA,NA,NA,5,NA,NA,NA,0,0,5,NA,0,0,0,0,5,NA,NA,NA,0,NA,0,NA,0,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,5,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,1995,NA,equals,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,5,2,5,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1577096,1578602,NA,NA,NA,NA,1577599,NA,NA,NA,NA,642642,1582605,NA,NA,305084,NA,NA,1586102,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1579106,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1586598,NA,NA,NA,NA,NA,1586600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584104,NA,1518540,NA,NA,1579605,NA,NA,NA,NA,NA,NA,NA,NA,1577092,NA,Extended template,0,0,0,yes,1024,PET
NA,495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,6,6,NA,NA,NA,NA,6,NA,NA,NA,0,0,6,NA,0,0,0,0,6,NA,NA,NA,0,NA,0,NA,0,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,6,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,2995,NA,equals,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,6,2,6,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1588371,1589877,NA,NA,NA,NA,1588874,NA,NA,NA,NA,642642,1593880,NA,NA,305084,NA,NA,1597378,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1590381,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1597873,NA,NA,NA,NA,NA,1597875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1594379,NA,1518540,NA,NA,1590880,NA,NA,NA,NA,NA,NA,NA,NA,1588368,NA,Extended template,0,0,0,yes,1024,CAR
NA,2995,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,7,7,NA,NA,NA,NA,7,NA,NA,NA,0,0,7,NA,0,0,0,0,7,NA,NA,NA,0,NA,0,NA,0,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,NA,0,NA,NA,NA,7,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,0,NA,square,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,7,2,7,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1599648,1601154,NA,NA,NA,NA,1600151,NA,NA,NA,NA,642642,1605157,NA,NA,305084,NA,NA,1608169,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1601658,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1608664,NA,NA,NA,NA,NA,1608666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1608156,NA,1518540,NA,NA,1602157,NA,NA,NA,NA,NA,NA,NA,NA,1599644,NA,Extended template,0,0,0,yes,1024,TOY
NA,1495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Plus,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,8,8,NA,NA,NA,NA,8,NA,NA,NA,0,0,8,NA,0,0,0,0,8,NA,NA,NA,0,NA,0,NA,0,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,8,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,0,NA,NA,8,NA,NA,NA,NA,0,NA,NA,NA,8,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,1995,NA,equals,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,8,2,8,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1610439,1611945,NA,NA,NA,NA,1610942,NA,NA,NA,NA,642642,1615947,NA,NA,305084,NA,NA,1619445,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1612449,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1619941,NA,NA,NA,NA,NA,1619943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1617447,NA,1518540,NA,NA,1612948,NA,NA,NA,NA,NA,NA,NA,NA,1610435,NA,Extended template,0,0,0,yes,1024,BAR
NA,495,undefined,undefined,undefined,undefined,#808080,yes,xpyriment,legacy,legacy,0,Exes,uniform,undefined,undefined,undefined,NA,NA,0,0,NA,9,9,NA,NA,NA,NA,9,NA,NA,NA,0,0,9,NA,0,0,0,0,9,NA,NA,NA,0,NA,0,NA,0,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,9,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0,NA,NA,9,NA,NA,NA,NA,0,NA,NA,NA,9,NA,Mon Apr  7 12:33:37 2025,A template containing a practice and an experimental phase,yes,2995,NA,equals,Prod_SOA_CA.osexp,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24,no,Courier,no,18,no,#0d0c0d,no,yes,768,iequals,legacy,9,2,9,/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-31.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,q,NA,q,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,337557,NA,337557,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,31,odd,288931,NA,NA,1621714,1623220,NA,NA,NA,NA,1622217,NA,NA,NA,NA,642642,1627223,NA,NA,305084,NA,NA,1630721,NA,NA,NA,3424,NA,NA,NA,3428,300036,NA,1623724,NA,NA,NA,NA,NA,NA,NA,NA,300042,274820,NA,NA,1631216,NA,NA,NA,NA,NA,1631218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627722,NA,1518540,NA,NA,1624223,NA,NA,NA,NA,NA,NA,NA,NA,1621711,NA,Extended template,0,0,0,yes,1024,SUN
