"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_3","count_blank_screen_test","count_blank_screen_test_1","count_blink_screen","count_blink_screen_1","count_blink_screen_test","count_block_loop","count_calibrate","count_calibrate_2","count_calibrate_3","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_fixation","count_inline_fixation_1","count_inline_stimuli","count_inline_stimulus","count_instruction_cue","count_instructions","count_keyboard_response","count_log_end_of_exp","count_log_end_of_practice","count_log_test","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_init","count_new_pygaze_stop_recording","count_new_pygaze_stop_recording_1","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_6","count_new_sketchpad_7","count_new_sketchpad_8","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_press_key","count_record_study","count_reset_feedback","count_sketchpad","count_start_recording_test","count_stimuli","count_stimuli_1","count_stimuli_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_new_sketchpad_6","response_new_sketchpad_7","response_new_sketchpad_8","response_press_key","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_new_sketchpad_6","response_time_new_sketchpad_7","response_time_new_sketchpad_8","response_time_press_key","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_3","time_blank_screen_test","time_blank_screen_test_1","time_blink_screen","time_blink_screen_1","time_blink_screen_test","time_block_loop","time_calibrate","time_calibrate_2","time_calibrate_3","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_fixation","time_inline_fixation_1","time_inline_stimuli","time_inline_stimulus","time_instruction_cue","time_instructions","time_keyboard_response","time_log_end_of_exp","time_log_end_of_practice","time_log_test","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_init","time_new_pygaze_stop_recording","time_new_pygaze_stop_recording_1","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_6","time_new_sketchpad_7","time_new_sketchpad_8","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_press_key","time_record_study","time_reset_feedback","time_sketchpad","time_start_recording_test","time_stimuli","time_stimuli_1","time_stimuli_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1536378","NA","NA","1534871","NA","NA","1535374","NA","NA","NA","1222032","NA","NA","1540380","NA","NA","1182915","NA","NA","1543877","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1536882","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1544373","NA","NA","NA","NA","NA","NA","1544375","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1540879","NA","1531711","NA","NA","NA","NA","NA","1537381","NA","NA","NA","NA","NA","NA","1534866","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","NA","NA","1","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","0","NA","NA","NA","NA","1","NA","NA","0","NA","NA","NA","1","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1548201","NA","NA","1546695","NA","NA","1547198","NA","NA","NA","1222032","NA","NA","1552203","NA","NA","1182915","NA","NA","1555214","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1548705","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1555709","NA","NA","NA","NA","NA","NA","1555711","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1555202","NA","1531711","NA","NA","NA","NA","NA","1549204","NA","NA","NA","NA","NA","NA","1546691","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","NA","NA","2","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","0","NA","NA","NA","NA","2","NA","NA","0","NA","NA","NA","2","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1559017","NA","NA","1557511","NA","NA","1558014","NA","NA","NA","1222032","NA","NA","1563019","NA","NA","1182915","NA","NA","1566516","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1559521","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1567012","NA","NA","NA","NA","NA","NA","1567014","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1564518","NA","1531711","NA","NA","NA","NA","NA","1560020","NA","NA","NA","NA","NA","NA","1557507","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","NA","NA","3","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","3","NA","NA","NA","NA","NA","NA","3","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","NA","3","NA","NA","0","NA","NA","NA","3","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1570322","NA","NA","1568816","NA","NA","1569319","NA","NA","NA","1222032","NA","NA","1574324","NA","NA","1182915","NA","NA","1577331","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1570826","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1577827","NA","NA","NA","NA","NA","NA","1577829","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1577323","NA","1531711","NA","NA","NA","NA","NA","1571325","NA","NA","NA","NA","NA","NA","1568812","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","NA","NA","4","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","4","NA","NA","NA","NA","NA","NA","4","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","0","NA","NA","NA","NA","4","NA","NA","0","NA","NA","NA","4","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1581122","NA","NA","1579616","NA","NA","1580119","NA","NA","NA","1222032","NA","NA","1585124","NA","NA","1182915","NA","NA","1588621","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1581626","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1589116","NA","NA","NA","NA","NA","NA","1589118","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1585623","NA","1531711","NA","NA","NA","NA","NA","1582125","NA","NA","NA","NA","NA","NA","1579612","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","NA","NA","5","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","5","NA","NA","NA","NA","NA","NA","5","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","NA","5","NA","NA","0","NA","NA","NA","5","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1592414","NA","NA","1590908","NA","NA","1591411","NA","NA","NA","1222032","NA","NA","1596417","NA","NA","1182915","NA","NA","1599432","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1592918","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1599927","NA","NA","NA","NA","NA","NA","1599929","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1599416","NA","1531711","NA","NA","NA","NA","NA","1593418","NA","NA","NA","NA","NA","NA","1590904","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","NA","NA","6","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","0","NA","NA","NA","NA","6","NA","NA","0","NA","NA","NA","6","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1603226","NA","NA","1601720","NA","NA","1602223","NA","NA","NA","1222032","NA","NA","1607228","NA","NA","1182915","NA","NA","1610725","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1603730","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1611221","NA","NA","NA","NA","NA","NA","1611223","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1608727","NA","1531711","NA","NA","NA","NA","NA","1604229","NA","NA","NA","NA","NA","NA","1601716","NA","Extended template","0","0","0","yes","1024","PET"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","NA","NA","7","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","7","NA","NA","NA","NA","NA","NA","7","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","0","NA","NA","NA","NA","7","NA","NA","0","NA","NA","NA","7","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1614518","NA","NA","1613012","NA","NA","1613515","NA","NA","NA","1222032","NA","NA","1618520","NA","NA","1182915","NA","NA","1622017","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1615022","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1622513","NA","NA","NA","NA","NA","NA","1622515","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1619019","NA","1531711","NA","NA","NA","NA","NA","1615521","NA","NA","NA","NA","NA","NA","1613008","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","NA","NA","8","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","8","NA","NA","NA","NA","NA","NA","8","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","NA","8","NA","NA","0","NA","NA","NA","8","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1625815","NA","NA","1624309","NA","NA","1624812","NA","NA","NA","1222032","NA","NA","1629817","NA","NA","1182915","NA","NA","1633315","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1626319","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1633810","NA","NA","NA","NA","NA","NA","1633812","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1631316","NA","1531711","NA","NA","NA","NA","NA","1626818","NA","NA","NA","NA","NA","NA","1624305","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","NA","NA","9","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","NA","9","NA","NA","NA","NA","NA","NA","9","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","0","NA","NA","NA","NA","9","NA","NA","0","NA","NA","NA","9","NA","Thu Nov 14 16:54:05 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-4.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39116","NA","39116","NA","NA","NA","NA","1830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","1166945","NA","NA","1637103","NA","NA","1635597","NA","NA","1636100","NA","NA","NA","1222032","NA","NA","1641105","NA","NA","1182915","NA","NA","1644603","NA","NA","NA","3595","NA","NA","NA","1177868","NA","1637607","NA","NA","NA","NA","NA","NA","NA","NA","1177873","1165114","NA","NA","1645098","NA","NA","NA","NA","NA","NA","1645100","NA","NA","3599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1641604","NA","1531711","NA","NA","NA","NA","NA","1638106","NA","NA","NA","NA","NA","NA","1635593","NA","Extended template","0","0","0","yes","1024","CAR"
