"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Inline_Fixation","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_3","count_blank_screen_4","count_blank_screen_5","count_blink_screen","count_blink_screen_1","count_blink_screen_2","count_block_loop","count_calibrate","count_calibrate_2","count_calibrate_3","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inlin_blink","count_inline_blink","count_inline_blink_1","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_keyboard_response","count_log_end_of_practice","count_log_end_of_test","count_log_end_of_trial","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_start_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_6","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_press_key","count_record_study","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_new_sketchpad_6","response_press_key","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_new_sketchpad_6","response_time_press_key","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Inline_Fixation","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_3","time_blank_screen_4","time_blank_screen_5","time_blink_screen","time_blink_screen_1","time_blink_screen_2","time_block_loop","time_calibrate","time_calibrate_2","time_calibrate_3","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inlin_blink","time_inline_blink","time_inline_blink_1","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_keyboard_response","time_log_end_of_practice","time_log_end_of_test","time_log_end_of_trial","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_start_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_6","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_press_key","time_record_study","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","907169","908677","NA","NA","NA","NA","907673","NA","NA","NA","697624","NA","NA","912682","NA","NA","643762","NA","NA","916181","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","909182","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","916676","NA","NA","NA","NA","NA","NA","NA","916678","NA","NA","NA","NA","NA","NA","NA","NA","NA","913182","NA","904289","NA","NA","NA","NA","909682","NA","NA","NA","NA","NA","NA","NA","NA","907164","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","918974","920482","NA","NA","NA","NA","919478","NA","NA","NA","697624","NA","NA","924485","NA","NA","643762","NA","NA","927984","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","920986","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","928479","NA","NA","NA","NA","NA","NA","NA","928481","NA","NA","NA","NA","NA","NA","NA","NA","NA","925984","NA","904289","NA","NA","NA","NA","921486","NA","NA","NA","NA","NA","NA","NA","NA","918969","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","930274","931781","NA","NA","NA","NA","930777","NA","NA","NA","697624","NA","NA","935784","NA","NA","643762","NA","NA","939284","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","932286","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","939779","NA","NA","NA","NA","NA","NA","NA","939781","NA","NA","NA","NA","NA","NA","NA","NA","NA","936284","NA","904289","NA","NA","NA","NA","932785","NA","NA","NA","NA","NA","NA","NA","NA","930270","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","3","3","NA","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","3","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","941569","943077","NA","NA","NA","NA","942073","NA","NA","NA","697624","NA","NA","947079","NA","NA","643762","NA","NA","950578","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","943581","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","951073","NA","NA","NA","NA","NA","NA","NA","951075","NA","NA","NA","NA","NA","NA","NA","NA","NA","948579","NA","904289","NA","NA","NA","NA","944080","NA","NA","NA","NA","NA","NA","NA","NA","941565","NA","Extended template","0","0","0","yes","1024","PET"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","4","4","NA","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","4","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","0","NA","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","952861","954369","NA","NA","NA","NA","953366","NA","NA","NA","697624","NA","NA","958374","NA","NA","643762","NA","NA","961872","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","954874","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","962367","NA","NA","NA","NA","NA","NA","NA","962369","NA","NA","NA","NA","NA","NA","NA","NA","NA","959873","NA","904289","NA","NA","NA","NA","955373","NA","NA","NA","NA","NA","NA","NA","NA","952857","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","5","5","NA","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","964156","965664","NA","NA","NA","NA","964660","NA","NA","NA","697624","NA","NA","969667","NA","NA","643762","NA","NA","972675","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","966168","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","973170","NA","NA","NA","NA","NA","NA","NA","973172","NA","NA","NA","NA","NA","NA","NA","NA","NA","972667","NA","904289","NA","NA","NA","NA","966667","NA","NA","NA","NA","NA","NA","NA","NA","964151","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","6","6","NA","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","6","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","0","NA","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","974960","976468","NA","NA","NA","NA","975464","NA","NA","NA","697624","NA","NA","980473","NA","NA","643762","NA","NA","983972","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","976973","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","984467","NA","NA","NA","NA","NA","NA","NA","984469","NA","NA","NA","NA","NA","NA","NA","NA","NA","981973","NA","904289","NA","NA","NA","NA","977473","NA","NA","NA","NA","NA","NA","NA","NA","974956","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","7","7","NA","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","7","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","0","NA","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","986256","987763","NA","NA","NA","NA","986759","NA","NA","NA","697624","NA","NA","991767","NA","NA","643762","NA","NA","995266","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","988268","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","995761","NA","NA","NA","NA","NA","NA","NA","995763","NA","NA","NA","NA","NA","NA","NA","NA","NA","992267","NA","904289","NA","NA","NA","NA","988768","NA","NA","NA","NA","NA","NA","NA","NA","986251","NA","Extended template","0","0","0","yes","1024","MUG"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","8","8","NA","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","8","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","997550","999058","NA","NA","NA","NA","998054","NA","NA","NA","697624","NA","NA","1003060","NA","NA","643762","NA","NA","1006075","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","999562","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","1006570","NA","NA","NA","NA","NA","NA","NA","1006572","NA","NA","NA","NA","NA","NA","NA","NA","NA","1006060","NA","904289","NA","NA","NA","NA","1000061","NA","NA","NA","NA","NA","NA","NA","NA","997545","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","NA","9","9","NA","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","9","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","0","NA","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Tue Nov 19 17:01:47 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_AC.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-5.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","q","NA","q","NA","NA","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","53861","NA","53861","NA","NA","NA","NA","1339","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","627832","NA","NA","NA","1008480","1009988","NA","NA","NA","NA","1008984","NA","NA","NA","697624","NA","NA","1013991","NA","NA","643762","NA","NA","1017008","NA","NA","NA","4157","NA","NA","NA","4160","638713","NA","1010492","NA","NA","NA","NA","NA","NA","NA","NA","638718","626492","NA","1017503","NA","NA","NA","NA","NA","NA","NA","1017505","NA","NA","NA","NA","NA","NA","NA","NA","NA","1016991","NA","904289","NA","NA","NA","NA","1010991","NA","NA","NA","NA","NA","NA","NA","NA","1008476","NA","Extended template","0","0","0","yes","1024","HAT"
