"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_2","count_blank_screen_2_1","count_blank_screen_3","count_blink_screen","count_blink_screen_1","count_blink_screen_1_1","count_block_loop","count_calibrate","count_calibrate_1","count_calibrate_2","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blank","count_inline_blank_1","count_inline_fixation","count_inline_fixation_1","count_inline_script","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_keyboard_response","count_log_end_of_trial","count_log_end_of_trial_1","count_log_test","count_logger","count_loop","count_new_inline_script","count_new_inline_script_2","count_new_inline_script_3","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_pygaze_stop_recording","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_press_key","count_record_study","count_record_test","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_test","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_press_key","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_press_key","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_2","time_blank_screen_2_1","time_blank_screen_3","time_blink_screen","time_blink_screen_1","time_blink_screen_1_1","time_block_loop","time_calibrate","time_calibrate_1","time_calibrate_2","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blank","time_inline_blank_1","time_inline_fixation","time_inline_fixation_1","time_inline_script","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_keyboard_response","time_log_end_of_trial","time_log_end_of_trial_1","time_log_test","time_logger","time_loop","time_new_inline_script","time_new_inline_script_2","time_new_inline_script_3","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_pygaze_stop_recording","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_press_key","time_record_study","time_record_test","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_test","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1076506","1078013","NA","NA","NA","1077009","NA","NA","NA","855659","NA","NA","1082015","NA","NA","767297","NA","NA","1085513","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1078517","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1086008","NA","NA","NA","NA","NA","NA","NA","NA","NA","1086010","NA","NA","NA","NA","NA","NA","NA","NA","1083514","NA","1073629","NA","NA","NA","NA","NA","1079016","NA","NA","NA","NA","NA","NA","NA","1076503","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","1","NA","NA","NA","1","NA","NA","NA","0","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","0","NA","NA","NA","NA","1","NA","NA","NA","0","NA","NA","NA","1","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1088320","1089826","NA","NA","NA","1088823","NA","NA","NA","855659","NA","NA","1093828","NA","NA","767297","NA","NA","1096844","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1090330","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1097339","NA","NA","NA","NA","NA","NA","NA","NA","NA","1097341","NA","NA","NA","NA","NA","NA","NA","NA","1096827","NA","1073629","NA","NA","NA","NA","NA","1090829","NA","NA","NA","NA","NA","NA","NA","1088316","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","2","NA","NA","NA","2","NA","NA","NA","0","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","0","NA","NA","NA","NA","2","NA","NA","NA","0","NA","NA","NA","2","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1099112","1100618","NA","NA","NA","1099615","NA","NA","NA","855659","NA","NA","1104620","NA","NA","767297","NA","NA","1108117","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1101122","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1108613","NA","NA","NA","NA","NA","NA","NA","NA","NA","1108615","NA","NA","NA","NA","NA","NA","NA","NA","1106119","NA","1073629","NA","NA","NA","NA","NA","1101621","NA","NA","NA","NA","NA","NA","NA","1099108","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","3","NA","NA","NA","3","NA","NA","NA","0","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","NA","3","NA","NA","NA","0","NA","NA","NA","3","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1110386","1111892","NA","NA","NA","1110889","NA","NA","NA","855659","NA","NA","1115894","NA","NA","767297","NA","NA","1118911","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1112396","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1119406","NA","NA","NA","NA","NA","NA","NA","NA","NA","1119408","NA","NA","NA","NA","NA","NA","NA","NA","1118893","NA","1073629","NA","NA","NA","NA","NA","1112895","NA","NA","NA","NA","NA","NA","NA","1110382","NA","Extended template","0","0","0","yes","1024","HAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","4","NA","NA","NA","4","NA","NA","NA","0","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","0","NA","NA","NA","NA","4","NA","NA","NA","0","NA","NA","NA","4","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1121179","1122685","NA","NA","NA","1121682","NA","NA","NA","855659","NA","NA","1126687","NA","NA","767297","NA","NA","1130184","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1123189","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1130679","NA","NA","NA","NA","NA","NA","NA","NA","NA","1130681","NA","NA","NA","NA","NA","NA","NA","NA","1127186","NA","1073629","NA","NA","NA","NA","NA","1123688","NA","NA","NA","NA","NA","NA","NA","1121175","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","5","NA","NA","NA","5","NA","NA","NA","0","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","NA","5","NA","NA","NA","0","NA","NA","NA","5","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1132450","1133956","NA","NA","NA","1132953","NA","NA","NA","855659","NA","NA","1137958","NA","NA","767297","NA","NA","1141455","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1134460","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1141951","NA","NA","NA","NA","NA","NA","NA","NA","NA","1141953","NA","NA","NA","NA","NA","NA","NA","NA","1138457","NA","1073629","NA","NA","NA","NA","NA","1134959","NA","NA","NA","NA","NA","NA","NA","1132446","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","6","NA","NA","NA","6","NA","NA","NA","0","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","0","NA","NA","NA","NA","6","NA","NA","NA","0","NA","NA","NA","6","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1143841","1145347","NA","NA","NA","1144344","NA","NA","NA","855659","NA","NA","1149349","NA","NA","767297","NA","NA","1152846","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1145851","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1153342","NA","NA","NA","NA","NA","NA","NA","NA","NA","1153344","NA","NA","NA","NA","NA","NA","NA","NA","1150848","NA","1073629","NA","NA","NA","NA","NA","1146350","NA","NA","NA","NA","NA","NA","NA","1143837","NA","Extended template","0","0","0","yes","1024","PET"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","7","NA","NA","NA","7","NA","NA","NA","0","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","0","NA","NA","NA","NA","7","NA","NA","NA","0","NA","NA","NA","7","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1155116","1156622","NA","NA","NA","1155619","NA","NA","NA","855659","NA","NA","1160624","NA","NA","767297","NA","NA","1164121","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1157126","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1164617","NA","NA","NA","NA","NA","NA","NA","NA","NA","1164619","NA","NA","NA","NA","NA","NA","NA","NA","1162123","NA","1073629","NA","NA","NA","NA","NA","1157625","NA","NA","NA","NA","NA","NA","NA","1155112","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","8","NA","NA","NA","8","NA","NA","NA","0","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","NA","8","NA","NA","NA","0","NA","NA","NA","8","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1166388","1167894","NA","NA","NA","1166891","NA","NA","NA","855659","NA","NA","1171896","NA","NA","767297","NA","NA","1174911","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1168398","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1175406","NA","NA","NA","NA","NA","NA","NA","NA","NA","1175408","NA","NA","NA","NA","NA","NA","NA","NA","1174895","NA","1073629","NA","NA","NA","NA","NA","1168897","NA","NA","NA","NA","NA","NA","NA","1166384","NA","Extended template","0","0","0","yes","1024","TOY"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","9","NA","NA","NA","9","NA","NA","NA","0","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","0","NA","NA","NA","NA","9","NA","NA","NA","0","NA","NA","NA","9","NA","Wed Nov 20 09:35:33 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BA.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-6.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","88361","NA","88361","NA","NA","NA","NA","995","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","751339","NA","NA","1177180","1178686","NA","NA","NA","1177683","NA","NA","NA","855659","NA","NA","1182688","NA","NA","767297","NA","NA","1185694","NA","NA","NA","3645","NA","NA","NA","3647","762251","NA","1179190","NA","NA","NA","NA","NA","NA","NA","NA","NA","762256","750343","NA","1186189","NA","NA","NA","NA","NA","NA","NA","NA","NA","1186191","NA","NA","NA","NA","NA","NA","NA","NA","1185687","NA","1073629","NA","NA","NA","NA","NA","1179689","NA","NA","NA","NA","NA","NA","NA","1177176","NA","Extended template","0","0","0","yes","1024","JAR"
