"List_Number","SOA","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_end_of_familiarization","correct_instructions","correct_keyboard_response","correct_new_keyboard_response","count_Familiarization","count_Test_loop","count_about_this_template","count_blank_screen","count_blank_screen_1","count_blank_screen_1_1","count_blank_screen_1_1_1","count_blank_screen_2","count_blink_screen","count_blink_screen_1_1_1","count_blink_screen_1_2","count_blink_screen_2_1","count_block_loop","count_calibrate","count_calibrate_1","count_delay","count_delay_1","count_end_of_experiment","count_end_of_familiarization","count_end_of_practice","count_end_of_study","count_end_of_trial","count_end_of_trial_1","count_equal_instruction","count_ex_instruction","count_experiment","count_experimental_loop","count_experimental_loop_1","count_experimenter","count_eyetracking_init","count_familiarization_sequence","count_feedback","count_fixation_NT","count_fixation_NT_1","count_fixation_NT_2","count_inline_blink","count_inline_blink_1","count_inline_calibrate","count_inline_fixation","count_inline_fixation_1","count_inline_stimulus","count_inline_stimulus_1","count_instruction_cue","count_instructions","count_key_press","count_keyboard_response","count_log_end_of_trial","count_log_study","count_log_test","count_logger","count_loop","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_loop","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_7","count_plus_instruction","count_post_cue","count_post_cue_1","count_practice_loop","count_record_study","count_record_study_1","count_reset_feedback","count_sketchpad","count_stimuli","count_stimuli_1","count_stimulus_study","count_stop_study","count_stop_test","count_test_instructions","count_test_log","count_test_sequence","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_1_1","datetime","description","disable_garbage_collection","e_SO","empty_column","eq_sq","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction","keyboard_backend","live_row","live_row_Familiarization","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_end_of_familiarization","response_end_of_practice","response_end_of_study","response_experimenter","response_feedback","response_instructions","response_key_press","response_keyboard_response","response_new_keyboard_response","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_3","response_test_instructions","response_time","response_time_end_of_experiment","response_time_end_of_familiarization","response_time_end_of_practice","response_time_end_of_study","response_time_experimenter","response_time_feedback","response_time_instructions","response_time_key_press","response_time_keyboard_response","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_test_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Familiarization","time_Test_loop","time_about_this_template","time_blank_screen","time_blank_screen_1","time_blank_screen_1_1","time_blank_screen_1_1_1","time_blank_screen_2","time_blink_screen","time_blink_screen_1_1_1","time_blink_screen_1_2","time_blink_screen_2_1","time_block_loop","time_calibrate","time_calibrate_1","time_delay","time_delay_1","time_end_of_experiment","time_end_of_familiarization","time_end_of_practice","time_end_of_study","time_end_of_trial","time_end_of_trial_1","time_equal_instruction","time_ex_instruction","time_experiment","time_experimental_loop","time_experimental_loop_1","time_experimenter","time_eyetracking_init","time_familiarization_sequence","time_feedback","time_fixation_NT","time_fixation_NT_1","time_fixation_NT_2","time_inline_blink","time_inline_blink_1","time_inline_calibrate","time_inline_fixation","time_inline_fixation_1","time_inline_stimulus","time_inline_stimulus_1","time_instruction_cue","time_instructions","time_key_press","time_keyboard_response","time_log_end_of_trial","time_log_study","time_log_test","time_logger","time_loop","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_loop","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_7","time_plus_instruction","time_post_cue","time_post_cue_1","time_practice_loop","time_record_study","time_record_study_1","time_reset_feedback","time_sketchpad","time_stimuli","time_stimuli_1","time_stimulus_study","time_stop_study","time_stop_test","time_test_instructions","time_test_log","time_test_sequence","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_1_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","0","NA","0","0","0","0","0","NA","NA","NA","0","NA","0","NA","0","2","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","0","2","0","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1546121","NA","NA","NA","NA","1546627","NA","NA","NA","NA","894464","NA","1551636","NA","NA","829843","NA","NA","1555135","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1548135","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1555630","NA","NA","NA","NA","NA","NA","NA","1555632","NA","NA","NA","NA","NA","NA","1547631","NA","1552135","NA","1543027","NA","NA","NA","NA","1548635","NA","NA","NA","NA","NA","NA","NA","NA","1546118","NA","Extended template","0","0","0","yes","1024","SUN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","0","0","1","NA","0","0","0","0","1","NA","NA","NA","0","NA","0","NA","0","2","NA","1","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","1","NA","0","NA","NA","NA","NA","1","NA","NA","NA","NA","0","NA","NA","NA","1","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","1","2","1","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1557777","NA","NA","NA","NA","1558281","NA","NA","NA","NA","894464","NA","1563287","NA","NA","829843","NA","NA","1566785","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1559788","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1567280","NA","NA","NA","NA","NA","NA","NA","1567282","NA","NA","NA","NA","NA","NA","1559284","NA","1564786","NA","1543027","NA","NA","NA","NA","1560287","NA","NA","NA","NA","NA","NA","NA","NA","1557773","NA","Extended template","0","0","0","yes","1024","PEN"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","2","NA","NA","NA","NA","2","NA","NA","NA","NA","0","0","2","NA","0","0","0","0","2","NA","NA","NA","0","NA","0","NA","0","2","NA","2","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","0","NA","NA","NA","NA","2","NA","NA","NA","NA","0","NA","NA","NA","2","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","2","2","2","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1569067","NA","NA","NA","NA","1569570","NA","NA","NA","NA","894464","NA","1574575","NA","NA","829843","NA","NA","1578073","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1571077","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1578569","NA","NA","NA","NA","NA","NA","NA","1578571","NA","NA","NA","NA","NA","NA","1570573","NA","1576075","NA","1543027","NA","NA","NA","NA","1571576","NA","NA","NA","NA","NA","NA","NA","NA","1569063","NA","Extended template","0","0","0","yes","1024","PET"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","3","NA","NA","NA","NA","3","NA","NA","NA","NA","0","0","3","NA","0","0","0","0","3","NA","NA","NA","0","NA","0","NA","0","2","NA","3","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","3","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","3","NA","3","NA","0","NA","NA","NA","NA","3","NA","NA","NA","NA","0","NA","NA","NA","3","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","3","2","3","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1580356","NA","NA","NA","NA","1580859","NA","NA","NA","NA","894464","NA","1585865","NA","NA","829843","NA","NA","1589362","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1582366","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1589857","NA","NA","NA","NA","NA","NA","NA","1589859","NA","NA","NA","NA","NA","NA","1581862","NA","1587364","NA","1543027","NA","NA","NA","NA","1582865","NA","NA","NA","NA","NA","NA","NA","NA","1580353","NA","Extended template","0","0","0","yes","1024","BAR"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","4","NA","NA","NA","NA","4","NA","NA","NA","NA","0","0","4","NA","0","0","0","0","4","NA","NA","NA","0","NA","0","NA","0","2","NA","4","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","4","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","4","NA","4","NA","0","NA","NA","NA","NA","4","NA","NA","NA","NA","0","NA","NA","NA","4","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","4","2","4","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1591657","NA","NA","NA","NA","1592160","NA","NA","NA","NA","894464","NA","1597166","NA","NA","829843","NA","NA","1600170","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1593667","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1600665","NA","NA","NA","NA","NA","NA","NA","1600667","NA","NA","NA","NA","NA","NA","1593163","NA","1600165","NA","1543027","NA","NA","NA","NA","1594166","NA","NA","NA","NA","NA","NA","NA","NA","1591653","NA","Extended template","0","0","0","yes","1024","FOX"
"NA","2995","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","5","NA","NA","NA","NA","5","NA","NA","NA","NA","0","0","5","NA","0","0","0","0","5","NA","NA","NA","0","NA","0","NA","0","2","NA","5","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","5","NA","5","NA","0","NA","NA","NA","NA","5","NA","NA","NA","NA","0","NA","NA","NA","5","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","0","NA","square","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","5","2","5","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1602451","NA","NA","NA","NA","1602954","NA","NA","NA","NA","894464","NA","1607960","NA","NA","829843","NA","NA","1610971","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1604461","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1611467","NA","NA","NA","NA","NA","NA","NA","1611469","NA","NA","NA","NA","NA","NA","1603957","NA","1610959","NA","1543027","NA","NA","NA","NA","1604960","NA","NA","NA","NA","NA","NA","NA","NA","1602447","NA","Extended template","0","0","0","yes","1024","JAR"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","6","NA","NA","NA","NA","6","NA","NA","NA","NA","0","0","6","NA","0","0","0","0","6","NA","NA","NA","0","NA","0","NA","0","2","NA","6","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","6","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","6","NA","0","NA","NA","NA","NA","6","NA","NA","NA","NA","0","NA","NA","NA","6","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","6","2","6","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1613252","NA","NA","NA","NA","1613755","NA","NA","NA","NA","894464","NA","1618760","NA","NA","829843","NA","NA","1622258","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1615262","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1622754","NA","NA","NA","NA","NA","NA","NA","1622756","NA","NA","NA","NA","NA","NA","1614758","NA","1619260","NA","1543027","NA","NA","NA","NA","1615761","NA","NA","NA","NA","NA","NA","NA","NA","1613248","NA","Extended template","0","0","0","yes","1024","CAR"
"NA","1495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","7","NA","NA","NA","NA","7","NA","NA","NA","NA","0","0","7","NA","0","0","0","0","7","NA","NA","NA","0","NA","0","NA","0","2","NA","7","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","7","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","7","NA","7","NA","0","NA","NA","NA","NA","7","NA","NA","NA","NA","0","NA","NA","NA","7","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","1995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","7","2","7","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1624543","NA","NA","NA","NA","1625046","NA","NA","NA","NA","894464","NA","1630052","NA","NA","829843","NA","NA","1633549","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1626553","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1634045","NA","NA","NA","NA","NA","NA","NA","1634047","NA","NA","NA","NA","NA","NA","1626049","NA","1631551","NA","1543027","NA","NA","NA","NA","1627052","NA","NA","NA","NA","NA","NA","NA","NA","1624540","NA","Extended template","0","0","0","yes","1024","SEA"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Plus","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","8","NA","NA","NA","NA","8","NA","NA","NA","NA","0","0","8","NA","0","0","0","0","8","NA","NA","NA","0","NA","0","NA","0","2","NA","8","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","8","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","8","NA","8","NA","0","NA","NA","NA","NA","8","NA","NA","NA","NA","0","NA","NA","NA","8","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","8","2","8","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1635827","NA","NA","NA","NA","1636330","NA","NA","NA","NA","894464","NA","1641336","NA","NA","829843","NA","NA","1644833","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1637837","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1645329","NA","NA","NA","NA","NA","NA","NA","1645331","NA","NA","NA","NA","NA","NA","1637333","NA","1641835","NA","1543027","NA","NA","NA","NA","1638336","NA","NA","NA","NA","NA","NA","NA","NA","1635823","NA","Extended template","0","0","0","yes","1024","CAT"
"NA","495","undefined","undefined","undefined","undefined","#808080","yes","xpyriment","legacy","legacy","0","Exes","uniform","undefined","undefined","undefined","NA","NA","0","0","NA","9","NA","NA","NA","NA","9","NA","NA","NA","NA","0","0","9","NA","0","0","0","0","9","NA","NA","NA","0","NA","0","NA","0","2","NA","9","NA","NA","NA","NA","0","NA","NA","NA","NA","2","0","0","NA","9","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","9","NA","9","NA","0","NA","NA","NA","NA","9","NA","NA","NA","NA","0","NA","NA","NA","9","NA","Thu Nov 21 17:03:55 2024","A template containing a practice and an experimental phase","yes","2995","NA","equals","Prod_SOA_BB.osexp","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24","no","Courier","no","18","no","#0d0c0d","no","yes","768","iequals","legacy","9","2","9","/Users/eyelink/Desktop/Siyue_ProdPupil_Fall24/data/subject-7.csv","xpyriment","Kafkaesque Koffka","3.2.8","0","c","NA","c","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","64621","NA","64621","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","813930","NA","NA","1647134","NA","NA","NA","NA","1647637","NA","NA","NA","NA","894464","NA","1652642","NA","NA","829843","NA","NA","1656141","NA","NA","NA","3808","NA","NA","NA","3811","824796","NA","1649144","NA","NA","NA","NA","NA","NA","NA","NA","NA","824801","813037","NA","NA","1656636","NA","NA","NA","NA","NA","NA","NA","1656638","NA","NA","NA","NA","NA","NA","1648640","NA","1653142","NA","1543027","NA","NA","NA","NA","1649643","NA","NA","NA","NA","NA","NA","NA","NA","1647130","NA","Extended template","0","0","0","yes","1024","MUG"
